t,transactions_transfers_volume_miners_net
2010-12-18,5549.25743858983
2010-12-19,-2342.294354810001
2010-12-20,-2088.2227048426003
2010-12-21,3750.67458368
2010-12-22,-2834.5625731930995
2010-12-23,5061.98
2010-12-24,4552.38599159622
2010-12-25,3204.8274305200002
2010-12-26,2865.1888743400095
2010-12-27,-9186.098555210201
2010-12-28,6441.41193051876
2010-12-29,982.3158776046512
2010-12-30,1278.6905126936808
2010-12-31,4758.5530048461505
2011-01-01,3617.96915258
2011-01-02,1537.822430920669
2011-01-03,-4426.954766196401
2011-01-04,2718.253531099991
2011-01-05,-5051.49521677563
2011-01-06,-2560.905324396779
2011-01-07,2534.4329009884405
2011-01-08,2847.6376543300003
2011-01-09,1760.5799029510808
2011-01-10,5577.82000791099
2011-01-11,2583.55528411693
2011-01-12,3514.1490963328406
2011-01-13,-10334.908792530003
2011-01-14,-8488.253496322603
2011-01-15,3172.523645754971
2011-01-16,1676.7754454716196
2011-01-17,5722.57314054507
2011-01-18,-1132.235046530921
2011-01-19,-1474.5677210272588
2011-01-20,5311.723524579999
2011-01-21,-3598.3919058599986
2011-01-22,-1424.7418555931108
2011-01-23,-4920.1228826724
2011-01-24,4696.4220924712
2011-01-25,3228.3390591899997
2011-01-26,1174.8200000000006
2011-01-27,1135.770940809999
2011-01-28,2468.2199999999993
2011-01-29,4372.11018096247
2011-01-30,78.07349533999877
2011-01-31,-1814.5000833003014
2011-02-01,-7357.2006971473
2011-02-02,2915.290000000001
2011-02-03,4158.878184742501
2011-02-04,2880.6285037172293
2011-02-05,-2743.8479797399978
2011-02-06,3653.4611258799996
2011-02-07,3880.9254670425007
2011-02-08,4038.0542490900007
2011-02-09,1808.705517280001
2011-02-10,1832.8655239109903
2011-02-11,-4128.6725320099995
2011-02-12,870.8143628883099
2011-02-13,-5741.778179750001
2011-02-14,-14611.8061990267
2011-02-15,4532.45346193
2011-02-16,5147.6427079514515
2011-02-17,6166.653461930001
2011-02-18,-3862.9357158572984
2011-02-19,1615.5999999999995
2011-02-20,3802.4000000000005
2011-02-21,3244.6400000000003
2011-02-22,2400.81806057436
2011-02-23,3035.8134284685
2011-02-24,-1381.3425491824019
2011-02-25,-1693.727208960001
2011-02-26,-4142.508798671803
2011-02-27,1453.4300000000003
2011-02-28,-751.7621462300003
2011-03-01,-1428.595135619591
2011-03-02,2426.6030446223085
2011-03-03,2520.179443587899
2011-03-04,4705.498500000001
2011-03-05,-2519.1832962068
2011-03-06,870.350238888901
2011-03-07,-1170.0665135648997
2011-03-08,4523.45708553032
2011-03-09,1050.9574691565003
2011-03-10,1911.9342327056006
2011-03-11,-282.8593846133208
2011-03-12,1273.1356490973203
2011-03-13,361.07540666212026
2011-03-14,-13537.526135249102
2011-03-15,515.4492633969594
2011-03-16,-8271.523281647089
2011-03-17,1312.23796436858
2011-03-18,-7662.580126213491
2011-03-19,2250.84777496639
2011-03-20,2611.4097504544898
2011-03-21,2104.02675817198
2011-03-22,550.4681912847009
2011-03-23,1422.3746749748607
2011-03-24,1391.0117632751098
2011-03-25,5110.869608124629
2011-03-26,101.50369924997995
2011-03-27,-130.37100476158957
2011-03-28,194.93235509543047
2011-03-29,1563.9273354420593
2011-03-30,851.6311971299401
2011-03-31,1952.9679420905595
2011-04-01,3250.8215964542997
2011-04-02,4060.489918398609
2011-04-03,4004.1172971792193
2011-04-04,-5589.055794805288
2011-04-05,1616.9561627676103
2011-04-06,-846.4552436064096
2011-04-07,1149.8565859297105
2011-04-08,-479.16063200268945
2011-04-09,2209.8807338410797
2011-04-10,1932.5219896296594
2011-04-11,-5020.731844325488
2011-04-12,-4501.101875417091
2011-04-13,-5507.206824552701
2011-04-14,1095.9620275481102
2011-04-15,1403.0685792516006
2011-04-16,-2548.4623379201003
2011-04-17,2178.4745413604205
2011-04-18,-4233.80139337789
2011-04-19,5.194912540629957
2011-04-20,564.8970644843985
2011-04-21,1441.1871805683095
2011-04-22,-585.2300866430196
2011-04-23,-6483.282335642589
2011-04-24,1253.5896082652189
2011-04-25,-1955.3097833333013
2011-04-26,56.45847284429874
2011-04-27,-5071.019263320581
2011-04-28,-2180.3986106021894
2011-04-29,-1219.2329114119002
2011-04-30,-2036.3469184531004
2011-05-01,-1919.9156716439884
2011-05-02,-1167.6948250733003
2011-05-03,-1341.2270679369994
2011-05-04,-13642.591167945498
2011-05-05,-1194.5745814186012
2011-05-06,2333.83469293911
2011-05-07,-5738.621847781302
2011-05-08,4155.5934122525805
2011-05-09,-687.3846746585004
2011-05-10,-3857.1071272832905
2011-05-11,-6282.33820949439
2011-05-12,-2263.36401751849
2011-05-13,-7009.860785060899
2011-05-14,1005.3444179811995
2011-05-15,-361.69135310809907
2011-05-16,-2594.463969889199
2011-05-17,584.3332017103003
2011-05-18,-2522.8347100564024
2011-05-19,-7333.790961886691
2011-05-20,-2768.8317468566
2011-05-21,-1287.3046075435996
2011-05-22,1578.9814394465993
2011-05-23,-7536.5835969652
2011-05-24,-1254.2866644547012
2011-05-25,-2941.8761638296
2011-05-26,-7063.579479412301
2011-05-27,-2200.765373634491
2011-05-28,-1705.0785081180102
2011-05-29,358.230596060519
2011-05-30,-1902.723532270892
2011-05-31,-1846.31639471763
2011-06-01,-3530.1878074975048
2011-06-02,-13758.840316958669
