t,mining_miners_unspent_supply
2011-07-20,2248729.81720384
2011-07-21,2249206.52096913
2011-07-22,2249582.47501058
2011-07-23,2249732.9593499
2011-07-24,2250820.80615838
2011-07-25,2251121.53304375
2011-07-26,2251081.9538292
2011-07-27,2250835.07057606
2011-07-28,2250945.30945372
2011-07-29,2250422.39834859
2011-07-30,2250548.17438951
2011-07-31,2250974.14089467
2011-08-01,2250561.77505794
2011-08-02,2249387.11435796
2011-08-03,2248680.98960164
2011-08-04,2248535.50823656
2011-08-05,2249104.26751126
2011-08-06,2247434.019894
2011-08-07,2245969.76188407
2011-08-08,2246146.76137531
2011-08-09,2246034.55672264
2011-08-10,2246094.04635996
2011-08-11,2246424.10397175
2011-08-12,2245264.73593679
2011-08-13,2245221.7950241
2011-08-14,2244927.67985241
2011-08-15,2245566.19353954
2011-08-16,2246536.92590223
2011-08-17,2245377.70033322
2011-08-18,2243562.44311442
2011-08-19,2243737.60665469
2011-08-20,2243729.46081373
2011-08-21,2244439.43424922
2011-08-22,2244341.34657427
2011-08-23,2244537.09924286
2011-08-24,2243921.44116724
2011-08-25,2240775.41881439
2011-08-26,2225805.93146978
2011-08-27,2224329.16960643
2011-08-28,2222708.05614757
2011-08-29,2223490.10399235
2011-08-30,2223385.73287954
2011-08-31,2224202.21139149
2011-09-01,2221908.17986505
2011-09-02,2222319.09607927
2011-09-03,2222077.92818125
2011-09-04,2223327.84300294
2011-09-05,2223109.77013094
2011-09-06,2222250.66643312
2011-09-07,2216141.7837852
2011-09-08,2211849.79808855
2011-09-09,2198408.08188027
2011-09-10,2197973.02689638
2011-09-11,2198332.64491526
2011-09-12,2196044.62807697
2011-09-13,2196927.41670723
2011-09-14,2189988.87552008
2011-09-15,2189995.5368448
2011-09-16,2191184.58331764
2011-09-17,2190263.13077931
2011-09-18,2189433.64705542
2011-09-19,2189316.56811824
2011-09-20,2188736.2148304
2011-09-21,2189885.75330149
2011-09-22,2190274.37080457
2011-09-23,2189958.43936443
2011-09-24,2189759.62352317
2011-09-25,2191628.46264568
2011-09-26,2191032.76966266
2011-09-27,2189141.97798963
2011-09-28,2189300.71816404
2011-09-29,2189777.56575247
2011-09-30,2188397.63611462
2011-10-01,2188724.38203906
2011-10-02,2187600.19579164
2011-10-03,2186816.37928984
2011-10-04,2186789.74822473
2011-10-05,2187449.37053381
2011-10-06,2185211.13169814
2011-10-07,2185732.28309993
2011-10-08,2185952.94353872
2011-10-09,2183887.93443617
2011-10-10,2182751.36980886
2011-10-11,2182521.98187736
2011-10-12,2182415.39780402
2011-10-13,2181650.05020177
2011-10-14,2182195.63499791
2011-10-15,2182733.95806583
2011-10-16,2180511.85653676
2011-10-17,2178926.11657536
2011-10-18,2178157.68069094
2011-10-19,2179754.02518329
2011-10-20,2178577.68392208
2011-10-21,2177994.32021643
2011-10-22,2176084.22909175
2011-10-23,2175615.42178964
2011-10-24,2176556.05466501
2011-10-25,2177984.74347855
2011-10-26,2178449.32545123
2011-10-27,2175606.38366458
2011-10-28,2176532.38333777
2011-10-29,2176047.24479354
2011-10-30,2175176.25081037
2011-10-31,2176042.08340845
2011-11-01,2174399.59495792
2011-11-02,2175397.10813975
2011-11-03,2171419.33022611
2011-11-04,2168638.82035545
2011-11-05,2169770.09358681
2011-11-06,2170793.4008064
2011-11-07,2171483.53574685
2011-11-08,2172969.32986695
2011-11-09,2168511.50628867
2011-11-10,2167375.91155829
2011-11-11,2165085.33135502
2011-11-12,2160768.50216241
2011-11-13,2159189.03943618
2011-11-14,2152484.61487396
2011-11-15,2148980.96784362
2011-11-16,2147558.68448462
2011-11-17,2141607.26448007
2011-11-18,2142218.91743168
2011-11-19,2142047.93189781
2011-11-20,2139495.40187103
2011-11-21,2137120.10209529
2011-11-22,2133472.84653752
2011-11-23,2134490.13310699
2011-11-24,2127586.70404986
2011-11-25,2128000.44334009
2011-11-26,2126475.59333409
2011-11-27,2127252.92100593
2011-11-28,2124795.31704542
2011-11-29,2121182.75868796
2011-11-30,2116594.54801948
2011-12-01,2115768.78945152
2011-12-02,2116654.1491586
2011-12-03,2117531.97811475
2011-12-04,2114151.32405589
2011-12-05,2113025.67879501
2011-12-06,2115070.13874057
2011-12-07,2116495.43406827
2011-12-08,2112807.13284771
2011-12-09,2114327.42830551
2011-12-10,2113177.78444542
2011-12-11,2107036.4233317
2011-12-12,2108357.67768262
2011-12-13,2108053.48184049
2011-12-14,2108719.59104935
2011-12-15,2103893.3529365
2011-12-16,2101965.94607724
2011-12-17,2104010.17389623
2011-12-18,2104335.28360579
2011-12-19,2098888.67517028
2011-12-20,2092210.76310844
2011-12-21,2092751.33311113
2011-12-22,2093874.68123586
2011-12-23,2094824.0591936
2011-12-24,2092720.97774923
2011-12-25,2094501.86781552
2011-12-26,2092502.36378803
2011-12-27,2094190.5049501
2011-12-28,2091855.03007785
2011-12-29,2092232.36532819
2011-12-30,2090347.39931411
2011-12-31,2091731.11898577
2012-01-01,2087434.94930357
2012-01-02,2087613.84644921
2012-01-03,2088552.76634642
2012-01-04,2088655.6302678
2012-01-05,2086612.68288996
2012-01-06,2084937.54870116
2012-01-07,2086241.25744118
2012-01-08,2085301.11448163
2012-01-09,2086567.89325295
2012-01-10,2087571.04601411
2012-01-11,2087908.00801114
2012-01-12,2085431.75095961
2012-01-13,2084681.9323433
2012-01-14,2085151.66965571
2012-01-15,2085427.35621079
2012-01-16,2086688.72400818
2012-01-17,2088005.71478756
2012-01-18,2087635.47040112
2012-01-19,2088677.81161506
2012-01-20,2087269.19019372
2012-01-21,2087239.01466985
2012-01-22,2088616.88499185
2012-01-23,2089069.45874546
2012-01-24,2088867.46345749
2012-01-25,2088445.59904433
2012-01-26,2089382.93147524
2012-01-27,2090294.2736179
2012-01-28,2089728.65659773
2012-01-29,2091791.73566924
2012-01-30,2092571.15228964
2012-01-31,2093171.62494517
2012-02-01,2093046.48798331
2012-02-02,2092537.65138398
2012-02-03,2093744.17000505
2012-02-04,2093783.66932559
2012-02-05,2091978.58440588
2012-02-06,2093053.24321661
2012-02-07,2093270.58329849
2012-02-08,2093159.40715421
2012-02-09,2093624.24911832
2012-02-10,2093082.76499129
2012-02-11,2093310.25320322
2012-02-12,2093607.8960992
2012-02-13,2093472.87658641
2012-02-14,2088834.43894875
2012-02-15,2088549.77394561
2012-02-16,2089244.62466969
2012-02-17,2090434.54171091
2012-02-18,2091216.62733575
2012-02-19,2092640.06402408
2012-02-20,2092808.7710994
2012-02-21,2093413.67206243
2012-02-22,2094231.33563804
2012-02-23,2094396.44250205
2012-02-24,2095675.12513127
2012-02-25,2096713.66363047
2012-02-26,2098032.93851556
2012-02-27,2098214.96210213
2012-02-28,2100202.00252965
2012-02-29,2101287.11556438
2012-03-01,2102207.10625292
2012-03-02,2101048.17797092
2012-03-03,2101891.90380076
2012-03-04,2102022.94535936
2012-03-05,2102409.82540722
2012-03-06,2101265.27467112
2012-03-07,2102980.64192158
2012-03-08,2103534.33677565
2012-03-09,2103458.48556467
2012-03-10,2103930.48037253
2012-03-11,2104838.40171104
2012-03-12,2106994.62923395
2012-03-13,2107131.58039883
2012-03-14,2103557.02065817
2012-03-15,2104965.64962113
2012-03-16,2105219.73536954
2012-03-17,2107086.37894017
2012-03-18,2107625.83424852
2012-03-19,2107236.14931511
2012-03-20,2108231.5719647
2012-03-21,2109428.45804935
2012-03-22,2107306.48011859
2012-03-23,2108628.99643323
2012-03-24,2110898.3650552
2012-03-25,2111084.38161873
2012-03-26,2110875.50689716
2012-03-27,2112130.50013169
2012-03-28,2111886.13375189
2012-03-29,2112865.23824194
2012-03-30,2114767.92936931
2012-03-31,2116852.74876154
2012-04-01,2114968.61428179
2012-04-02,2114423.43031081
2012-04-03,2112636.49047065
2012-04-04,2112543.16353955
2012-04-05,2111012.36012174
2012-04-06,2109369.48563053
2012-04-07,2110970.7714885
2012-04-08,2112293.67064533
2012-04-09,2112285.06804356
2012-04-10,2112560.74422321
2012-04-11,2111065.87226735
2012-04-12,2108263.96635353
2012-04-13,2109077.28818934
2012-04-14,2109693.62726327
2012-04-15,2107909.02826599
2012-04-16,2108765.41206225
2012-04-17,2109079.67313357
2012-04-18,2109672.69939099
2012-04-19,2108991.59809292
2012-04-20,2109066.22317982
2012-04-21,2110563.67316749
2012-04-22,2109654.63325155
2012-04-23,2110603.20153931
2012-04-24,2108148.48559692
2012-04-25,2109552.43197758
2012-04-26,2110312.70999791
2012-04-27,2109706.04945201
2012-04-28,2111987.00006805
2012-04-29,2115017.62153097
2012-04-30,2116746.45390034
2012-05-01,2104461.38105683
2012-05-02,2103365.15022489
2012-05-03,2103150.92229608
2012-05-04,2100927.78691808
2012-05-05,2103384.18642424
2012-05-06,2097534.59566124
2012-05-07,2095440.05186437
2012-05-08,2096787.0469979
2012-05-09,2097857.90093471
2012-05-10,2095939.07922479
2012-05-11,2097488.77385204
2012-05-12,2097010.62391278
2012-05-13,2095119.85470121
2012-05-14,2095707.69352542
2012-05-15,2095811.33568961
2012-05-16,2093814.27968091
2012-05-17,2093648.75520734
2012-05-18,2094816.63553162
2012-05-19,2096295.30112666
2012-05-20,2096008.7985139
2012-05-21,2094800.2152997
2012-05-22,2095582.63203498
2012-05-23,2095580.46274753
2012-05-24,2095781.78416382
2012-05-25,2095528.16216717
2012-05-26,2096600.45688343
2012-05-27,2098606.12331644
2012-05-28,2098284.79249911
2012-05-29,2097408.5070978
2012-05-30,2098443.7754842
2012-05-31,2098219.11319414
2012-06-01,2098536.04238364
2012-06-02,2098985.18083188
2012-06-03,2099673.01040003
2012-06-04,2099612.67335515
2012-06-05,2100203.30981572
2012-06-06,2102365.73355197
2012-06-07,2103368.78431906
2012-06-08,2103249.79303055
2012-06-09,2105622.36713647
2012-06-10,2107103.10535039
2012-06-11,2106545.61097701
2012-06-12,2107284.73266374
2012-06-13,2105867.94643612
2012-06-14,2107189.04297206
2012-06-15,2106449.8348116
2012-06-16,2107587.14061839
2012-06-17,2108981.53916312
2012-06-18,2110084.09308021
2012-06-19,2109596.19917831
2012-06-20,2109288.24892253
2012-06-21,2109695.20860614
2012-06-22,2110500.94211779
2012-06-23,2113111.56326837
2012-06-24,2104469.36712072
2012-06-25,2105682.03831295
2012-06-26,2105478.65261208
2012-06-27,2107191.92411892
2012-06-28,2108546.11399027
2012-06-29,2108837.83616372
2012-06-30,2108581.96805144
2012-07-01,2109399.9220709
2012-07-02,2107352.92855522
2012-07-03,2108925.47909444
2012-07-04,2108863.30721131
2012-07-05,2105714.45217299
2012-07-06,2107102.99221522
2012-07-07,2109356.61479907
2012-07-08,2111568.84882166
2012-07-09,2112536.36457215
2012-07-10,2113019.08948058
2012-07-11,2111627.35701589
2012-07-12,2112626.84738475
2012-07-13,2110516.44653174
2012-07-14,2111215.6859143
2012-07-15,2111881.82382832
2012-07-16,2111251.5546181
2012-07-17,2109759.73399838
2012-07-18,2108288.09233901
2012-07-19,2108664.73945726
2012-07-20,2109019.67356759
2012-07-21,2109639.62173817
2012-07-22,2110669.19613818
2012-07-23,2107874.25163547
2012-07-24,2107011.54641172
2012-07-25,2106064.01915971
2012-07-26,2107202.51529809
2012-07-27,2107864.66819876
2012-07-28,2109281.85129806
2012-07-29,2110622.75258756
2012-07-30,2110532.96853889
2012-07-31,2110165.67399062
2012-08-01,2108399.53919925
2012-08-02,2108207.67432029
2012-08-03,2109355.27386607
2012-08-04,2109560.77784762
2012-08-05,2108944.61840166
2012-08-06,2109503.53617327
2012-08-07,2110913.16874467
2012-08-08,2111248.72600333
2012-08-09,2110613.66177476
2012-08-10,2111685.81697572
2012-08-11,2112213.05157515
2012-08-12,2113628.99000766
2012-08-13,2113304.1724643
2012-08-14,2112253.51779559
2012-08-15,2111950.35165711
2012-08-16,2112151.8897395
2012-08-17,2108446.38136572
2012-08-18,2109810.97633967
2012-08-19,2112355.21745467
