t,transactions_transfers_to_exchanges_count
2013-12-19,3142
2013-12-20,3127
2013-12-21,2325
2013-12-22,2607
2013-12-23,2866
2013-12-24,2119
2013-12-25,1845
2013-12-26,2681
2013-12-27,2296
2013-12-28,1811
2013-12-29,1775
2013-12-30,2107
2013-12-31,1895
2014-01-01,1725
2014-01-02,2307
2014-01-03,2661
2014-01-04,2116
2014-01-05,2946
2014-01-06,3747
2014-01-07,2641
2014-01-08,2516
2014-01-09,2302
2014-01-10,2170
2014-01-11,2887
2014-01-12,2459
2014-01-13,2418
2014-01-14,2172
2014-01-15,2380
2014-01-16,2300
2014-01-17,2262
2014-01-18,1784
2014-01-19,1987
2014-01-20,2896
2014-01-21,2264
2014-01-22,2447
2014-01-23,2116
2014-01-24,2447
2014-01-25,2031
2014-01-26,2326
2014-01-27,2994
2014-01-28,2551
2014-01-29,2402
2014-01-30,2269
2014-01-31,2372
2014-02-01,2263
2014-02-02,2161
2014-02-03,2453
2014-02-04,2981
2014-02-05,2608
2014-02-06,2717
2014-02-07,3206
2014-02-08,2484
2014-02-09,2312
2014-02-10,3185
2014-02-11,2757
2014-02-12,2237
2014-02-13,2371
2014-02-14,3224
2014-02-15,2578
2014-02-16,2932
2014-02-17,3135
2014-02-18,2861
2014-02-19,2928
2014-02-20,3134
2014-02-21,2913
2014-02-22,2438
2014-02-23,3066
2014-02-24,3565
2014-02-25,4342
2014-02-26,3970
2014-02-27,3603
2014-02-28,3472
2014-03-01,3282
2014-03-02,2579
2014-03-03,5811
2014-03-04,5182
2014-03-05,3728
2014-03-06,3939
2014-03-07,4071
2014-03-08,3730
2014-03-09,3992
2014-03-10,4858
2014-03-11,3928
2014-03-12,4398
2014-03-13,4614
2014-03-14,4638
2014-03-15,3910
2014-03-16,5123
2014-03-17,4397
2014-03-18,3690
2014-03-19,4288
2014-03-20,4919
2014-03-21,4910
2014-03-22,4753
2014-03-23,3840
2014-03-24,4888
2014-03-25,4326
2014-03-26,4341
2014-03-27,5202
2014-03-28,4661
2014-03-29,3773
2014-03-30,4218
2014-03-31,4313
2014-04-01,4686
2014-04-02,5052
2014-04-03,4667
2014-04-04,4505
2014-04-05,3952
2014-04-06,4018
2014-04-07,3903
2014-04-08,3898
2014-04-09,4201
2014-04-10,5337
2014-04-11,4882
2014-04-12,3433
2014-04-13,3919
2014-04-14,5618
2014-04-15,5421
2014-04-16,5820
2014-04-17,5890
2014-04-18,5585
2014-04-19,4992
2014-04-20,5012
2014-04-21,5268
2014-04-22,5602
2014-04-23,4803
2014-04-24,4996
2014-04-25,5230
2014-04-26,3902
2014-04-27,4125
2014-04-28,4439
2014-04-29,4633
2014-04-30,4679
2014-05-01,4460
2014-05-02,3888
