t,addresses_accumulation_balance
2011-01-24,580797.30980736
2011-01-25,586948.49980736
2011-01-26,590348.07980736
2011-01-27,590120.42980736
2011-01-28,592641.1493216
2011-01-29,591248.6493216
2011-01-30,582026.3493216
2011-01-31,734305.9293216
2011-02-01,723960.2093216
2011-02-02,733883.0493216
2011-02-03,738794.2093216
2011-02-04,744516.3293216
2011-02-05,748836.63980736
2011-02-06,752739.21980736
2011-02-07,739552.83980736
2011-02-08,744012.01980736
2011-02-09,757240.76980736
2011-02-10,759045.24980736
2011-02-11,593283.51980736
2011-02-12,598506.0393216
2011-02-13,609669.9593216
2011-02-14,614774.6093216
2011-02-15,617292.7793216
2011-02-16,611292.9593216
2011-02-17,613284.6593216
2011-02-18,608543.7293216
2011-02-19,607694.2993216
2011-02-20,635977.14980736
2011-02-21,584513.38980736
2011-02-22,587725.26980736
2011-02-23,592338.12980736
2011-02-24,597155.1793216
2011-02-25,608505.21883584
2011-02-26,600523.06883584
2011-02-27,602993.6093216
2011-02-28,585879.94327168
2011-03-01,592151.89667168
2011-03-02,593970.18667168
2011-03-03,592883.32667168
2011-03-04,600358.34667167
2011-03-05,599892.53667166
2011-03-06,597976.33667166
2011-03-07,602282.61667167
2011-03-08,603606.15667167
2011-03-09,604519.80667167
2011-03-10,612801.86667167
2011-03-11,622169.00167167
2011-03-12,640168.74167167
2011-03-13,640476.88167167
2011-03-14,694128.55167167
2011-03-15,701523.50944383
2011-03-16,713282.70167167
2011-03-17,967464.64767167
2011-03-18,979886.91767167
2011-03-19,979828.27767167
2011-03-20,981295.16544383
2011-03-21,993501.64544383
2011-03-22,984892.95544383
2011-03-23,988007.23592959
2011-03-24,989111.69592959
2011-03-25,991043.74592959
2011-03-26,1001499.36592959
2011-03-27,976280.75892959
2011-03-28,977575.3689296
2011-03-29,983130.7789296
2011-03-30,984610.7189296
2011-03-31,986365.9459296
2011-04-01,985261.83815439
2011-04-02,964402.18815439
2011-04-03,964840.81815439
2011-04-04,965128.88892959
2011-04-05,970336.68892959
2011-04-06,973145.44892959
2011-04-07,976174.77892959
2011-04-08,979526.70941535
2011-04-09,984520.52941535
2011-04-10,979699.43908831
2011-04-11,984452.01562399
2011-04-12,991909.18546527
2011-04-13,996026.42869407
2011-04-14,994244.26569407
2011-04-15,990232.66326527
2011-04-16,988469.93326527
2011-04-17,1025773.03326527
2011-04-18,1021306.02566559
2011-04-19,1023858.09569407
2011-04-20,1030097.26821961
2011-04-21,1015083.4411525
2011-04-22,965000.0966525
2011-04-23,984492.93876607
2011-04-24,969624.92326607
2011-04-25,976379.42326607
2011-04-26,979297.14326607
2011-04-27,997114.20222043
2011-04-28,1001536.30222043
2011-04-29,749020.29400314
2011-04-30,748228.06269619
2011-05-01,760782.48769619
2011-05-02,763542.28770619
2011-05-03,783740.01770619
2011-05-04,785410.67770619
2011-05-05,786393.10770619
2011-05-06,778993.77769619
2011-05-07,782943.78197414
2011-05-08,802094.13847078
2011-05-09,801233.1745781
2011-05-10,812602.92263455
2011-05-11,817524.30065904
2011-05-12,803458.19470888
