t,addresses_non_zero_count
2011-11-20,550608
2011-11-21,551065
2011-11-22,551354
2011-11-23,551514
2011-11-24,551477
2011-11-25,552113
2011-11-26,552507
2011-11-27,553139
2011-11-28,553761
2011-11-29,554294
2011-11-30,553247
2011-12-01,554448
2011-12-02,555322
2011-12-03,555181
2011-12-04,556008
2011-12-05,556960
2011-12-06,557800
2011-12-07,558508
2011-12-08,556879
2011-12-09,557586
2011-12-10,557861
2011-12-11,557612
2011-12-12,557802
2011-12-13,559253
2011-12-14,559760
2011-12-15,560140
2011-12-16,560489
2011-12-17,560810
2011-12-18,561389
2011-12-19,561752
2011-12-20,561914
2011-12-21,562254
2011-12-22,562821
2011-12-23,563815
2011-12-24,564434
2011-12-25,565146
2011-12-26,566134
2011-12-27,566837
2011-12-28,567101
2011-12-29,567709
2011-12-30,568110
2011-12-31,568173
2012-01-01,568489
2012-01-02,568849
2012-01-03,568570
2012-01-04,568934
2012-01-05,569556
2012-01-06,569721
2012-01-07,569929
2012-01-08,570274
2012-01-09,570133
2012-01-10,570245
2012-01-11,569205
2012-01-12,569731
2012-01-13,570225
2012-01-14,570927
2012-01-15,571174
2012-01-16,571830
2012-01-17,572570
2012-01-18,573307
2012-01-19,573936
2012-01-20,574711
2012-01-21,575126
2012-01-22,575654
2012-01-23,576494
2012-01-24,577060
2012-01-25,577774
2012-01-26,578271
2012-01-27,578703
2012-01-28,579277
2012-01-29,578842
2012-01-30,579697
2012-01-31,580449
2012-02-01,581055
2012-02-02,581740
2012-02-03,582398
2012-02-04,582566
2012-02-05,582908
2012-02-06,583167
2012-02-07,583515
2012-02-08,584266
2012-02-09,585213
2012-02-10,585545
2012-02-11,585637
2012-02-12,585948
2012-02-13,586322
2012-02-14,586784
2012-02-15,587772
2012-02-16,588821
2012-02-17,589579
2012-02-18,590463
2012-02-19,591796
2012-02-20,592916
2012-02-21,593615
2012-02-22,594243
2012-02-23,594962
2012-02-24,595485
2012-02-25,595173
2012-02-26,595882
2012-02-27,596692
2012-02-28,597052
2012-02-29,597836
2012-03-01,598074
2012-03-02,598109
2012-03-03,598659
2012-03-04,599932
2012-03-05,600759
2012-03-06,601560
2012-03-07,602790
2012-03-08,603787
2012-03-09,604178
2012-03-10,604854
2012-03-11,605607
2012-03-12,606204
2012-03-13,607166
2012-03-14,607704
2012-03-15,608826
2012-03-16,609750
2012-03-17,610919
2012-03-18,612414
2012-03-19,612853
2012-03-20,614039
2012-03-21,615151
2012-03-22,615974
2012-03-23,616636
2012-03-24,617711
2012-03-25,618042
2012-03-26,618389
2012-03-27,618915
2012-03-28,619756
2012-03-29,620284
2012-03-30,620932
2012-03-31,621687
2012-04-01,622166
2012-04-02,622684
