t,transactions_transfers_volume_entity_adjusted_sum
2010-11-25,53533.38
2010-11-26,86994.01
2010-11-27,32148.85
2010-11-28,28987.52
2010-11-29,42933.42
2010-11-30,61168.43
2010-12-01,53372.12
2010-12-02,54061.04
2010-12-03,35821.6
2010-12-04,64619.13404658
2010-12-05,31764.38
2010-12-06,106826.28613297
2010-12-07,83818.45434402
2010-12-08,37265.92564519
2010-12-09,45305.26727261
2010-12-10,25847.9
2010-12-11,59244.74724798
2010-12-12,26509.60644603
2010-12-13,89120.94745822
2010-12-14,31189.05737761
2010-12-15,41026.31391566
2010-12-16,34550.67356946
2010-12-17,28995.49544416
2010-12-18,41319.45674275
2010-12-19,66085.87693557
2010-12-20,40401.43932703
2010-12-21,59118.09750328
2010-12-22,32381.898474
2010-12-23,17729.7
2010-12-24,19783.92748065
2010-12-25,34114.01743052
2010-12-26,24241.30903786
2010-12-27,56188.23496207
2010-12-28,35796.03254525
2010-12-29,99168.42258158
2010-12-30,43155.61238552
2010-12-31,38716.73335061
2011-01-01,29295.38915258
2011-01-02,37584.73266554
2011-01-03,38346.39459217
2011-01-04,20740.55484551
2011-01-05,30218.8129565
2011-01-06,28552.13908586
2011-01-07,34205.49889484
2011-01-08,45617.30765433
2011-01-09,30997.24
2011-01-10,55851.65670037
2011-01-11,85486.97152517
2011-01-12,40179.57201638
2011-01-13,90819.0737314
2011-01-14,69033.72334813
2011-01-15,39769.77285515
2011-01-16,49465.1895353
2011-01-17,50254.68305592
2011-01-18,87675.97768351
2011-01-19,51601.98370812
2011-01-20,51031.82718992
2011-01-21,53175.42593586
2011-01-22,57101.96699227
2011-01-23,70559.9054456
2011-01-24,56067.73884709
2011-01-25,43305.51153271
2011-01-26,56478.21
2011-01-27,1017539.96905919
2011-01-28,44177.27
2011-01-29,59132.65195608
2011-01-30,41862.26108788
2011-01-31,97813.85982325
2011-02-01,97221.88188265
2011-02-02,103459.88104348
2011-02-03,66852.47801299
2011-02-04,55066.34359852
2011-02-05,70399.93949428
2011-02-06,71043.70351056
2011-02-07,157729.26138346
2011-02-08,67041.97459986
2011-02-09,96218.78460472
2011-02-10,104847.75331821
2011-02-11,98382.00256859
2011-02-12,62250.94186934
2011-02-13,57319.28817975
2011-02-14,83146.86
2011-02-15,67785.91395607
2011-02-16,52255.8832218
2011-02-17,50206.25165151
2011-02-18,71488.84368959
2011-02-19,44114.07
2011-02-20,74495.17
2011-02-21,56927.93
2011-02-22,65579.22546822
2011-02-23,67778.22785377
2011-02-24,82264.00818048
2011-02-25,69782.519152
2011-02-26,86530.89049575
2011-02-27,126243.51903727
2011-02-28,96331.76125377
2011-03-01,511236.10715377
2011-03-02,265502.10978385
2011-03-03,121122.83868828
2011-03-04,242719.90369298
2011-03-05,82902.44542093
2011-03-06,124420.17280005
2011-03-07,142532.83717488
2011-03-08,98884.39990018
2011-03-09,82696.95613041
2011-03-10,201901.39625373
