t,entities_new_count
2011-05-03,1133
2011-05-04,1278
2011-05-05,1348
2011-05-06,1406
2011-05-07,1147
2011-05-08,1343
2011-05-09,1541
2011-05-10,1462
2011-05-11,1412
2011-05-12,1499
2011-05-13,2243
2011-05-14,1828
2011-05-15,1603
2011-05-16,3874
2011-05-17,2665
2011-05-18,3113
2011-05-19,3538
2011-05-20,2543
2011-05-21,1561
2011-05-22,1575
2011-05-23,1886
2011-05-24,2514
2011-05-25,3291
2011-05-26,2215
2011-05-27,1451
2011-05-28,2008
2011-05-29,1642
2011-05-30,2555
2011-05-31,2871
2011-06-01,1966
2011-06-02,2313
2011-06-03,2747
2011-06-04,3583
2011-06-05,2651
2011-06-06,3175
2011-06-07,2768
2011-06-08,4097
2011-06-09,3725
2011-06-10,3321
2011-06-11,3120
2011-06-12,3710
2011-06-13,3547
2011-06-14,3654
2011-06-15,3385
2011-06-16,4022
2011-06-17,3946
2011-06-18,4386
2011-06-19,4340
2011-06-20,4178
2011-06-21,4815
2011-06-22,4309
2011-06-23,3662
2011-06-24,3661
2011-06-25,3124
2011-06-26,3697
2011-06-27,5222
2011-06-28,4148
2011-06-29,4490
2011-06-30,3692
2011-07-01,10012
2011-07-02,15941
2011-07-03,5456
2011-07-04,4499
2011-07-05,4117
2011-07-06,5803
2011-07-07,5435
2011-07-08,6533
2011-07-09,6586
2011-07-10,12037
2011-07-11,5767
2011-07-12,6131
2011-07-13,8349
2011-07-14,10223
2011-07-15,7820
2011-07-16,6141
2011-07-17,7606
2011-07-18,6491
2011-07-19,7097
2011-07-20,7266
2011-07-21,8593
2011-07-22,6945
2011-07-23,6805
2011-07-24,7019
2011-07-25,7851
2011-07-26,6125
2011-07-27,6961
2011-07-28,7961
2011-07-29,7150
2011-07-30,6950
2011-07-31,7701
2011-08-01,7354
2011-08-02,4153
2011-08-03,2579
2011-08-04,2887
2011-08-05,6615
2011-08-06,6811
2011-08-07,6314
2011-08-08,6224
2011-08-09,5892
2011-08-10,2735
2011-08-11,2714
2011-08-12,2496
2011-08-13,4313
2011-08-14,5630
2011-08-15,2571
2011-08-16,2426
2011-08-17,4716
2011-08-18,4834
2011-08-19,6964
2011-08-20,6398
2011-08-21,7511
2011-08-22,8909
2011-08-23,7118
2011-08-24,6590
2011-08-25,7551
2011-08-26,5535
2011-08-27,5926
2011-08-28,6582
2011-08-29,3934
2011-08-30,2044
2011-08-31,2296
2011-09-01,2080
2011-09-02,1783
2011-09-03,1592
2011-09-04,2808
2011-09-05,3292
2011-09-06,2075
2011-09-07,1891
2011-09-08,1616
2011-09-09,1805
2011-09-10,1523
2011-09-11,1753
2011-09-12,1803
2011-09-13,1815
2011-09-14,1742
2011-09-15,2109
2011-09-16,2106
2011-09-17,1878
2011-09-18,1961
2011-09-19,1986
2011-09-20,6314
2011-09-21,2163
2011-09-22,4916
2011-09-23,7829
2011-09-24,7702
2011-09-25,8024
2011-09-26,6260
2011-09-27,6516
2011-09-28,1711
2011-09-29,1834
2011-09-30,1773
2011-10-01,1687
2011-10-02,1662
2011-10-03,1782
2011-10-04,2305
2011-10-05,1853
2011-10-06,1872
2011-10-07,1817
2011-10-08,1570
2011-10-09,1499
2011-10-10,1719
2011-10-11,2086
2011-10-12,1775
2011-10-13,1697
2011-10-14,1768
2011-10-15,1689
2011-10-16,1672
2011-10-17,1926
2011-10-18,1717
2011-10-19,1625
2011-10-20,1443
2011-10-21,1872
2011-10-22,1898
2011-10-23,1966
2011-10-24,2015
2011-10-25,1945
2011-10-26,1863
2011-10-27,1815
2011-10-28,2220
2011-10-29,2312
2011-10-30,2149
2011-10-31,1730
2011-11-01,2243
2011-11-02,1974
2011-11-03,2314
2011-11-04,2399
2011-11-05,2121
2011-11-06,2017
2011-11-07,2113
2011-11-08,2099
2011-11-09,2476
2011-11-10,2362
2011-11-11,2059
2011-11-12,2034
2011-11-13,2399
2011-11-14,2160
2011-11-15,2512
2011-11-16,2592
2011-11-17,1852
2011-11-18,1943
2011-11-19,1602
2011-11-20,1788
2011-11-21,1852
2011-11-22,2048
2011-11-23,2075
2011-11-24,1905
2011-11-25,1862
2011-11-26,1929
2011-11-27,2087
2011-11-28,2226
2011-11-29,2870
2011-11-30,2687
2011-12-01,2873
2011-12-02,2395
2011-12-03,2086
2011-12-04,2296
2011-12-05,2643
2011-12-06,2552
2011-12-07,2343
2011-12-08,1931
2011-12-09,2105
2011-12-10,1782
2011-12-11,1915
2011-12-12,1802
2011-12-13,2698
2011-12-14,1994
2011-12-15,1597
2011-12-16,1824
2011-12-17,1644
2011-12-18,1376
2011-12-19,1980
2011-12-20,2076
2011-12-21,1925
2011-12-22,1944
2011-12-23,2091
2011-12-24,1681
2011-12-25,1928
2011-12-26,1965
2011-12-27,1827
2011-12-28,1512
2011-12-29,1741
2011-12-30,1592
2011-12-31,1633
2012-01-01,1518
2012-01-02,1767
2012-01-03,1809
2012-01-04,1856
2012-01-05,2350
2012-01-06,2196
2012-01-07,2001
2012-01-08,1999
2012-01-09,2004
2012-01-10,2515
2012-01-11,2266
2012-01-12,2064
2012-01-13,2268
2012-01-14,2156
2012-01-15,1955
