t,transactions_transfers_volume_miners_to_exchanges
2012-08-28,29.0311953700772
2012-08-29,54.7842745494569
2012-08-30,11.6332345562152
2012-08-31,7.87259973
2012-09-01,3.15772224223315
2012-09-02,22.71414183
2012-09-03,4.80904085002945
2012-09-04,10.50651467
2012-09-05,6.24325216
2012-09-06,11.95664195
2012-09-07,7.56618062
2012-09-08,9.93743606
2012-09-09,10.47019302
2012-09-10,9.0222951370077
2012-09-11,4.81627012
2012-09-12,11.99315652
2012-09-13,70.5856362969437
2012-09-14,11.62970246
2012-09-15,7.38160504
2012-09-16,11.9147356484877
2012-09-17,7.97606436
2012-09-18,25.67343608
2012-09-19,44.2046086665457
2012-09-20,11.7311881096873
2012-09-21,65.4337312222726
2012-09-22,16.9890408227487
2012-09-23,8.06662082
2012-09-24,106.165498839999
2012-09-25,8.25517951614275
2012-09-26,9.94941679
2012-09-27,6.93683634387964
2012-09-28,13.25929888
2012-09-29,26.7887791363721
2012-09-30,9.98625989409489
2012-10-01,17.2333704869361
2012-10-02,9.27045981416285
2012-10-03,7.99204023
2012-10-04,15.1061237022367
2012-10-05,11.2924328598718
2012-10-06,8.30474459779933
2012-10-07,15.0107132592665
2012-10-08,5.17831271
2012-10-09,14.7128218
2012-10-10,6.27570273
2012-10-11,9.66896624746452
2012-10-12,35.4609500014771
2012-10-13,15.74921469
2012-10-14,5.85255692
2012-10-15,22.1315040457243
2012-10-16,12.1080459795218
2012-10-17,11.48120182
2012-10-18,12.8754537461665
2012-10-19,8.42818725
2012-10-20,4.45703860137275
2012-10-21,6.18634251731611
2012-10-22,3.52906595739094
2012-10-23,7.06865480725514
2012-10-24,5.07726822
2012-10-25,17.4893653902278
2012-10-26,10.2122663354061
2012-10-27,9.88429792241526
2012-10-28,8.97884428
2012-10-29,63.3910935929306
2012-10-30,8.28357524
2012-10-31,4.72986499075262
2012-11-01,13.37477128
2012-11-02,12.6135388147315
2012-11-03,12.63013576
2012-11-04,24.3614381347068
2012-11-05,50.3221820553445
2012-11-06,1.78946127
2012-11-07,9.59689272
2012-11-08,15.2770796408128
2012-11-09,17.0435097641527
2012-11-10,7.05001238
2012-11-11,13.4670678374863
2012-11-12,10.938298035821
2012-11-13,3.49185126098572
2012-11-14,3.54008957523168
2012-11-15,14.8390764144522
2012-11-16,10.8541986500162
2012-11-17,12.2080805629168
2012-11-18,8.64711095
2012-11-19,5.18919931
2012-11-20,6.30287068057268
2012-11-21,13.9633443409827
2012-11-22,20.6352367389404
2012-11-23,4.34358644
2012-11-24,11.79373585
2012-11-25,15.4770292681878
2012-11-26,58.2493371699425
2012-11-27,6.60175032149285
2012-11-28,6.27793045985322
2012-11-29,17.70177379
2012-11-30,5.37764743
2012-12-01,2.01951043
2012-12-02,1.24
2012-12-03,3.00865659
2012-12-04,14.9514235144876
2012-12-05,0.08045878
2012-12-06,1.30019894
2012-12-07,0.5734801098226
2012-12-08,2.00092376
2012-12-09,3.602731
2012-12-10,0.23002828
2012-12-11,4.026102516337
2012-12-12,0.11744625
2012-12-13,2.24023892
2012-12-14,0.579196574462038
2012-12-15,4.28260029358723
2012-12-16,5.33265981309977
2012-12-17,0.136437043824117
2012-12-18,5.09656480750817
2012-12-19,2.80481929144937
2012-12-20,40.9869792145891
2012-12-21,0.02002252
2012-12-22,2.90402053596236
2012-12-23,21.501982710586
2012-12-24,2.00496284
2012-12-25,3.46021023685389
2012-12-26,11.9
2012-12-27,17.2815483970745
2012-12-28,5.40024300065601
2012-12-29,7.39962380713488
2012-12-30,7.95661078644915
2012-12-31,1.32962853704229
2013-01-01,3.77780967
2013-01-02,9.01053629588636
2013-01-03,4.17505137
2013-01-04,0.451594949643662
2013-01-05,8.63461612140299
2013-01-06,17.49759021574
2013-01-07,29.2281286464428
2013-01-08,0.0
2013-01-09,4.82436290454082
2013-01-10,3.95060953737969
2013-01-11,1.86640527423137
2013-01-12,0.0
2013-01-13,5.24578209663025
2013-01-14,6.47594160887668
2013-01-15,13.8656139238875
2013-01-16,7.5400508045041
2013-01-17,22.8046222691232
2013-01-18,37.9214580154333
2013-01-19,20.1032348881115
2013-01-20,4.59763923677645
2013-01-21,16.4008560848515
2013-01-22,4.7449898707406
2013-01-23,9.8246770949779
2013-01-24,78.8604351064698
2013-01-25,6.41701980206585
2013-01-26,12.7351257909985
2013-01-27,3.27387322830624
2013-01-28,34.9556545349163
2013-01-29,4.15615518291899
2013-01-30,12.5136057977573
2013-01-31,7.76911867374607
2013-02-01,8.74377288576147
2013-02-02,22.4319924727531
2013-02-03,16.29400746
2013-02-04,5.57875679037716
2013-02-05,8.00351043062461
2013-02-06,14.9155321861396
2013-02-07,6.55434947534962
2013-02-08,15.4923072418606
2013-02-09,29.06744897
2013-02-10,64.3291447738339
2013-02-11,58.0589697734228
2013-02-12,5.22724916031596
2013-02-13,11.0280914543314
2013-02-14,9.67123729004363
2013-02-15,83.0302591536875
2013-02-16,7.00583750004005
2013-02-17,12.2006848985157
2013-02-18,11.6510724373543
2013-02-19,41.8786524523274
2013-02-20,5.81764167801266
2013-02-21,11.6795364315083
2013-02-22,6.27684359250009
2013-02-23,22.976283635161
2013-02-24,13.0974534745372
2013-02-25,15.4019077132513
2013-02-26,46.1701064918976
2013-02-27,31.9631298579353
2013-02-28,17.7972961051591
2013-03-01,33.4368359809249
2013-03-02,16.9830341598805
2013-03-03,8.79140522580098
2013-03-04,41.8771592211564
2013-03-05,17.5785985613939
2013-03-06,35.2378904092239
2013-03-07,227.377929645071
2013-03-08,7.73407827913478
2013-03-09,6.71279815226369
2013-03-10,14.116311435597
