t,indicators_mvrv_account_based
2010-12-04,2.32662096313122
2010-12-05,2.018388310324
2010-12-06,1.90704609079698
2010-12-07,1.94643172763141
2010-12-08,2.23441105917413
2010-12-09,2.04044627915295
2010-12-10,1.86536875795212
2010-12-11,2.09597117464478
2010-12-12,2.02620431609421
2010-12-13,2.08474674050615
2010-12-14,2.1470545752288
2010-12-15,2.3153185656142
2010-12-16,2.26621966536129
2010-12-17,2.31603119087225
2010-12-18,2.28575396552466
2010-12-19,2.28895601732924
2010-12-20,2.36080011022503
2010-12-21,2.34248124687997
2010-12-22,2.2459167250101
2010-12-23,2.25783741374738
2010-12-24,2.25942045353864
2010-12-25,2.24835371768146
2010-12-26,2.30046867172546
2010-12-27,2.31324919635928
2010-12-28,2.40954795665006
2010-12-29,2.58111720749393
2010-12-30,2.5923021048734
2010-12-31,2.60123828920996
2011-01-01,2.61115029406459
2011-01-02,2.58320838014788
2011-01-03,2.52781714443148
2011-01-04,2.53885205206343
2011-01-05,2.54847679883397
2011-01-06,2.52118440405491
2011-01-07,2.67048431908336
2011-01-08,2.68329825098558
2011-01-09,2.72535672383178
2011-01-10,2.74116237624686
2011-01-11,2.70033860362687
2011-01-12,2.66831102805941
2011-01-13,2.99494609770742
2011-01-14,2.98891179278001
2011-01-15,3.08368485057707
2011-01-16,3.07744847232861
2011-01-17,2.94788937014214
2011-01-18,2.63310402788256
2011-01-19,2.39787625065946
2011-01-20,2.58603417972955
2011-01-21,2.92455765931303
2011-01-22,3.16122929049863
2011-01-23,3.28403502821092
2011-01-24,3.01844410534924
2011-01-25,3.03232967517198
2011-01-26,2.9627546699003
2011-01-27,2.71983935070071
2011-01-28,2.77958420591634
2011-01-29,2.83882214434898
2011-01-30,2.88988182558731
2011-01-31,3.15963502115968
2011-02-01,4.11515548351874
2011-02-02,4.31625370124107
2011-02-03,4.1489854364376
2011-02-04,4.33058485622897
2011-02-05,4.90750583406632
2011-02-06,4.89061130502273
2011-02-07,4.66875141746515
2011-02-08,4.59442532403708
2011-02-09,4.69717543224815
2011-02-10,5.05210487777779
2011-02-11,4.68834336388379
2011-02-12,4.92336354854138
2011-02-13,4.89771327458105
2011-02-14,4.83751805384885
2011-02-15,4.65484442707838
2011-02-16,4.56209881292546
2011-02-17,4.54103298122892
2011-02-18,4.32832335795407
2011-02-19,3.98096037281374
2011-02-20,3.67479836954439
2011-02-21,3.57494066484075
2011-02-22,3.57020978830677
2011-02-23,3.72436284519967
2011-02-24,3.84411530472801
2011-02-25,3.96572950624056
2011-02-26,3.78755266568505
2011-02-27,3.71049334990677
2011-02-28,3.4763073524577
2011-03-01,3.37157620286156
2011-03-02,3.1716312808474
2011-03-03,3.18486464118425
2011-03-04,3.10046259737122
2011-03-05,3.05335961977375
2011-03-06,2.85363014910984
2011-03-07,2.91479475113569
2011-03-08,2.90598132810064
2011-03-09,2.84562090361076
2011-03-10,2.85829896490979
2011-03-11,2.95089276435951
2011-03-12,2.94282199755994
2011-03-13,2.93993341225157
2011-03-14,2.87317276394184
2011-03-15,2.84302459837998
2011-03-16,2.73734759363394
2011-03-17,2.65467742202282
2011-03-18,2.52729551280916
2011-03-19,2.4198659946332
2011-03-20,2.42360787154073
2011-03-21,2.37464604343748
2011-03-22,2.44307203182916
2011-03-23,2.59460573338479
2011-03-24,2.6308439174866
2011-03-25,2.69373062428558
2011-03-26,2.66252375025757
2011-03-27,2.57879435225368
2011-03-28,2.45486720479663
2011-03-29,2.38244024768617
2011-03-30,2.37243918190322
2011-03-31,2.38169556764602
2011-04-01,2.34711001276744
2011-04-02,2.36698058744535
2011-04-03,2.33985205501296
2011-04-04,2.07291015984246
2011-04-05,1.93269059721974
2011-04-06,2.13957600875942
2011-04-07,2.23304032293496
2011-04-08,2.26619021134304
2011-04-09,2.22700168824463
2011-04-10,2.19695399225182
2011-04-11,2.22882312865548
2011-04-12,2.4821547386439
2011-04-13,2.67240289356135
2011-04-14,2.7122613742668
2011-04-15,2.92084144148387
2011-04-16,2.92226220502844
2011-04-17,2.97052475872838
2011-04-18,3.19368828921168
2011-04-19,3.24284335531722
2011-04-20,3.16682494796792
2011-04-21,3.14264708488764
2011-04-22,3.36970130572483
2011-04-23,3.81199946962482
2011-04-24,4.25651695629187
2011-04-25,3.97027967688283
2011-04-26,4.04275490205634
2011-04-27,4.4944384665303
2011-04-28,4.82789072916963
2011-04-29,4.88499697546478
2011-04-30,5.63741502809492
2011-05-01,5.33277299660838
2011-05-02,4.91977356633124
2011-05-03,4.94737493406435
2011-05-04,4.78929548079831
2011-05-05,4.74232920073683
2011-05-06,4.69517189956356
2011-05-07,4.61802719269706
2011-05-08,4.86934169992402
2011-05-09,4.83217021451009
2011-05-10,5.66438422558805
2011-05-11,6.32158702931177
2011-05-12,6.07742461921947
2011-05-13,6.90296505534655
2011-05-14,7.10495065191967
2011-05-15,5.19224553843111
2011-05-16,5.78869946212859
2011-05-17,5.34069992238181
2011-05-18,4.87960075284215
2011-05-19,4.64897516151392
2011-05-20,4.35977172062003
2011-05-21,3.84903357374067
2011-05-22,4.27063019375122
2011-05-23,4.60554807114093
2011-05-24,4.54551803757113
2011-05-25,4.64635077185777
2011-05-26,5.17709438651348
2011-05-27,4.94158371792379
2011-05-28,4.70911750231479
2011-05-29,4.56888942582328
2011-05-30,4.68445113430563
2011-05-31,4.75001579046043
2011-06-01,4.7658562564089
2011-06-02,5.14742601112947
2011-06-03,6.09639516443808
2011-06-04,7.24975897927812
2011-06-05,7.31736200891913
2011-06-06,6.91750637116744
2011-06-07,6.2555693829965
2011-06-08,8.05131652639715
2011-06-09,7.4067170656654
2011-06-10,6.06749089561667
2011-06-11,4.20280044900568
2011-06-12,3.45730554383978
2011-06-13,3.99796113841725
2011-06-14,3.43785813521965
2011-06-15,3.3293759734105
2011-06-16,3.1494948383091
2011-06-17,2.47114229352356
2011-06-18,2.49155278313072
2011-06-19,2.73633365034281
2011-06-20,2.68549740800444
2011-06-21,2.72556763706813
2011-06-22,2.66154160799496
2011-06-23,2.7142960768458
2011-06-24,2.67574680511858
2011-06-25,2.70337845644634
2011-06-26,2.5724234266076
2011-06-27,2.48286793694385
2011-06-28,2.40670964283451
2011-06-29,2.39248409519545
2011-06-30,2.35192989597812
2011-07-01,2.25262710052352
2011-07-02,2.17885333991314
2011-07-03,2.16218986609879
2011-07-04,2.0833520815075
2011-07-05,1.84319116336506
2011-07-06,2.00979780907767
2011-07-07,2.10270093506926
2011-07-08,2.0055987360751
