t,o
2010-01-31,"{'0001_001': 0, '001_01': 5.33418680322185e-09, '01_1': 8.00128020483277e-07, '100_1k': 0.0459998506427695, '10_100': 0.611892142742839, '10k_100k': 0.182606630394196, '1_10': 1.19699151864298e-05, '1k_10k': 0.159488600842802, 'above_100k': 0, 'less_0001': 0}"
2010-02-01,"{'0001_001': 0, '001_01': 5.30813737459526e-09, '01_1': 7.96220606189288e-07, '100_1k': 0.0468633791602527, '10_100': 0.609540952279845, '10k_100k': 0.182537634693986, '1_10': 1.19114602685918e-05, '1k_10k': 0.161045320876904, 'above_100k': 0, 'less_0001': 0}"
2010-02-02,"{'0001_001': 0, '001_01': 5.2877878539513e-09, '01_1': 7.93168178092695e-07, '100_1k': 0.0479263516907702, '10_100': 0.607997356106073, '10k_100k': 0.182313750892314, '1_10': 1.18657959442667e-05, '1k_10k': 0.161749877058932, 'above_100k': 0, 'less_0001': 0}"
2010-02-03,"{'0001_001': 0, '001_01': 5.25030845562177e-09, '01_1': 7.87546268343265e-07, '100_1k': 0.0489517339143675, '10_100': 0.605289265744362, '10k_100k': 0.181914078702124, '1_10': 1.17816921744152e-05, '1k_10k': 0.163832347150395, 'above_100k': 0, 'less_0001': 0}"
2010-02-04,"{'0001_001': 0, '001_01': 5.21893429361724e-09, '01_1': 7.82840144042587e-07, '100_1k': 0.0493142007202129, '10_100': 0.603003068733365, '10k_100k': 0.187402875632796, '1_10': 1.17112885548771e-05, '1k_10k': 0.160267355565993, 'above_100k': 0, 'less_0001': 0}"
2010-02-05,"{'0001_001': 0, '001_01': 5.18874043325983e-09, '01_1': 7.78311064988974e-07, '100_1k': 0.0497293760539629, '10_100': 0.600707837592425, '10k_100k': 0.18743424568686, '1_10': 1.16435335322351e-05, '1k_10k': 0.162116113633416, 'above_100k': 0, 'less_0001': 0}"
2010-02-06,"{'0001_001': 0, '001_01': 5.16302243333247e-09, '01_1': 7.74453364999871e-07, '100_1k': 0.0496894132225005, '10_100': 0.598479066525544, '10k_100k': 0.187176420476547, '1_10': 1.15858223403981e-05, '1k_10k': 0.164642734336681, 'above_100k': 0, 'less_0001': 0}"
2010-02-07,"{'0001_001': 0, '001_01': 5.13426092314011e-09, '01_1': 7.70139138471017e-07, '100_1k': 0.0483333778302613, '10_100': 0.595966617035478, '10k_100k': 0.186955203573446, '1_10': 1.25481336961544e-05, '1k_10k': 0.16873147815372, 'above_100k': 0, 'less_0001': 0}"
2010-02-08,"{'0001_001': 0, '001_01': 5.10803493895898e-09, '01_1': 7.66205240843847e-07, '100_1k': 0.0471425243908668, '10_100': 0.594224436839148, '10k_100k': 0.188554247331052, '1_10': 1.1462430403024e-05, '1k_10k': 0.170066557695255, 'above_100k': 0, 'less_0001': 0}"
2010-02-09,"{'0001_001': 0, '001_01': 5.08117171819822e-09, '01_1': 7.62175757729733e-07, '100_1k': 0.0476821828713701, '10_100': 0.592344290033282, '10k_100k': 0.209360864815426, '1_10': 1.14021493356368e-05, '1k_10k': 0.150600492873657, 'above_100k': 0, 'less_0001': 0}"
2010-02-10,"{'0001_001': 0, '001_01': 5.05957651344583e-09, '01_1': 7.58936477016874e-07, '100_1k': 0.0480107870171267, '10_100': 0.590788120114346, '10k_100k': 0.209356497761137, '1_10': 1.13536896961724e-05, '1k_10k': 0.15183247742164, 'above_100k': 0, 'less_0001': 0}"
2010-02-11,"{'0001_001': 0, '001_01': 5.03803718071439e-09, '01_1': 7.55705577107159e-07, '100_1k': 0.0482346314675802, '10_100': 0.589406609904781, '10k_100k': 0.210404881858028, '1_10': 1.13053554335231e-05, '1k_10k': 0.151941810670563, 'above_100k': 0, 'less_0001': 0}"
2010-02-12,"{'0001_001': 0, '001_01': 5.01491938517088e-09, '01_1': 7.52237907775633e-07, '100_1k': 0.0487404628770593, '10_100': 0.587780236202703, '10k_100k': 0.211921792332188, '1_10': 1.12534791003235e-05, '1k_10k': 0.151545497856122, 'above_100k': 0, 'less_0001': 0}"
2010-02-13,"{'0001_001': 0, '001_01': 4.98591479071623e-09, '01_1': 7.47887218607434e-07, '100_1k': 0.0502618851743824, '10_100': 0.585328536883305, '10k_100k': 0.20870124398574, '1_10': 1.11883927903672e-05, '1k_10k': 0.155696392690649, 'above_100k': 0, 'less_0001': 0}"
2010-02-14,"{'0001_001': 0, '001_01': 4.96019443962203e-09, '01_1': 7.44029165943305e-07, '100_1k': 0.0501762109074676, '10_100': 0.583499506460653, '10k_100k': 0.209261501450857, '1_10': 1.11306763225118e-05, '1k_10k': 0.157050901515339, 'above_100k': 0, 'less_0001': 0}"
2010-02-15,"{'0001_001': 0, '001_01': 4.93863742993308e-09, '01_1': 7.40795614489962e-07, '100_1k': 0.0510446452823666, '10_100': 0.582098511000815, '10k_100k': 0.210673210361261, '1_10': 1.20700298787565e-05, '1k_10k': 0.156170817591427, 'above_100k': 0, 'less_0001': 0}"
2010-02-16,"{'0001_001': 0, '001_01': 4.91497100167109e-09, '01_1': 7.37245650250664e-07, '100_1k': 0.0517338788951145, '10_100': 0.58023582030866, '10k_100k': 0.210327165044726, '1_10': 1.25036862282513e-05, '1k_10k': 0.15768988990465, 'above_100k': 0, 'less_0001': 0}"
2010-02-17,"{'0001_001': 0, '001_01': 4.88627201876328e-09, '01_1': 7.32940802814493e-07, '100_1k': 0.0505522708949207, '10_100': 0.578044904839852, '10k_100k': 0.208848994649532, '1_10': 1.19420488138575e-05, '1k_10k': 0.162541149739806, 'above_100k': 0, 'less_0001': 0}"
2010-02-18,"{'0001_001': 0, '001_01': 4.86156688300639e-09, '01_1': 7.29235032450959e-07, '100_1k': 0.0498591360995649, '10_100': 0.576507839276599, '10k_100k': 0.208765361335959, '1_10': 1.18816694620676e-05, '1k_10k': 0.164855047521816, 'above_100k': 0, 'less_0001': 0}"
2010-02-19,"{'0001_001': 0, '001_01': 4.83898284580581e-09, '01_1': 7.25847426870872e-07, '100_1k': 0.050788889695386, '10_100': 0.574894277902785, '10k_100k': 0.208110091698725, '1_10': 1.18264740751494e-05, '1k_10k': 0.166194183542619, 'above_100k': 0, 'less_0001': 0}"
2010-02-20,"{'0001_001': 0, '001_01': 4.81475240135776e-09, '01_1': 7.22212860203664e-07, '100_1k': 0.0513049327138352, '10_100': 0.572978535833795, '10k_100k': 0.207718004766605, '1_10': 1.17672548689184e-05, '1k_10k': 0.167986032403284, 'above_100k': 0, 'less_0001': 0}"
2010-02-21,"{'0001_001': 0, '001_01': 4.78904267037019e-09, '01_1': 7.18356400555529e-07, '100_1k': 0.050496120875437, '10_100': 0.571571174752167, '10k_100k': 0.214373914084574, '1_10': 1.17044202863848e-05, '1k_10k': 0.163546362722092, 'above_100k': 0, 'less_0001': 0}"
2010-02-22,"{'0001_001': 0, '001_01': 4.75941173670934e-09, '01_1': 7.13911760506401e-07, '100_1k': 0.0514449336062063, '10_100': 0.569890424063586, '10k_100k': 0.215284455761268, '1_10': 1.21079434581886e-05, '1k_10k': 0.16336735995431, 'above_100k': 0, 'less_0001': 0}"
2010-02-23,"{'0001_001': 0, '001_01': 4.73126419379258e-09, '01_1': 7.09689629068887e-07, '100_1k': 0.0516847795230886, '10_100': 0.567679206093868, '10k_100k': 0.21443705999243, '1_10': 1.20363361090083e-05, '1k_10k': 0.166186203633611, 'above_100k': 0, 'less_0001': 0}"
2010-02-24,"{'0001_001': 0, '001_01': 4.71220224772047e-09, '01_1': 7.06830337158071e-07, '100_1k': 0.0516414720919822, '10_100': 0.566711481280777, '10k_100k': 0.215717159484485, '1_10': 1.19878425182009e-05, '1k_10k': 0.165917187757699, 'above_100k': 0, 'less_0001': 0}"
2010-02-25,"{'0001_001': 0, '001_01': 4.69516632626711e-09, '01_1': 7.04274948940066e-07, '100_1k': 0.0528867995398737, '10_100': 0.565930356597882, '10k_100k': 0.222943010071132, '1_10': 1.19445031340235e-05, '1k_10k': 0.158227180317863, 'above_100k': 0, 'less_0001': 0}"
2010-02-26,"{'0001_001': 0, '001_01': 4.67628422455517e-09, '01_1': 7.01442633683275e-07, '100_1k': 0.0531885010170918, '10_100': 0.565033912413196, '10k_100k': 0.222420524211462, '1_10': 1.18964670672683e-05, '1k_10k': 0.159344459772265, 'above_100k': 0, 'less_0001': 0}"
