t,o
2010-01-29,"{'1d_1w': 0.0292028341280746, '1m_3m': 0.163413696489668, '1w_1m': 0.109412080066812, '1y_2y': 0.0605889167272825, '24h': 0.00568442037770414, '2y_3y': 0, '3m_6m': 0.147659974676042, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.484038077534416, '7y_10y': 0, 'more_10y': 0}"
2010-01-30,"{'1d_1w': 0.0301904685365266, '1m_3m': 0.165334003053926, '1w_1m': 0.108957298615018, '1y_2y': 0.0631680462910874, '24h': 0.0065364729834713, '2y_3y': 0, '3m_6m': 0.147257912079081, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.478555798440891, '7y_10y': 0, 'more_10y': 0}"
2010-01-31,"{'1d_1w': 0.0321646130047474, '1m_3m': 0.167326852296367, '1w_1m': 0.108824531925108, '1y_2y': 0.0662772710300315, '24h': 0.00496079372699632, '2y_3y': 0, '3m_6m': 0.145409681549048, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.475036256467702, '7y_10y': 0, 'more_10y': 0}"
2010-02-01,"{'1d_1w': 0.0297117681405595, '1m_3m': 0.168447184033123, '1w_1m': 0.111756648442062, '1y_2y': 0.0688996231222464, '24h': 0.00530813737459525, '2y_3y': 0, '3m_6m': 0.14398297680344, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.471893662083975, '7y_10y': 0, 'more_10y': 0}"
2010-02-02,"{'1d_1w': 0.0293472225894297, '1m_3m': 0.171106284535864, '1w_1m': 0.111578854136372, '1y_2y': 0.0717817201173889, '24h': 0.00438886391877958, '2y_3y': 0, '3m_6m': 0.142770023530656, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.469027031171509, '7y_10y': 0, 'more_10y': 0}"
2010-02-03,"{'1d_1w': 0.0292704696400914, '1m_3m': 0.18428162654556, '1w_1m': 0.0993400362271284, '1y_2y': 0.0749481322027669, '24h': 0.00724542566875804, '2y_3y': 0, '3m_6m': 0.138214123329746, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.46670018638595, '7y_10y': 0, 'more_10y': 0}"
2010-02-04,"{'1d_1w': 0.0307917123323417, '1m_3m': 0.187068524607275, '1w_1m': 0.0982506132247795, '1y_2y': 0.0774489640415427, '24h': 0.00688899326757476, '2y_3y': 0, '3m_6m': 0.136631454516988, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.462919738009498, '7y_10y': 0, 'more_10y': 0}"
2010-02-05,"{'1d_1w': 0.0313399922168894, '1m_3m': 0.187776365287326, '1w_1m': 0.0942316772603451, '1y_2y': 0.0801660189389026, '24h': 0.0121157089116617, '2y_3y': 0, '3m_6m': 0.13501078220262, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.459359455182255, '7y_10y': 0, 'more_10y': 0}"
2010-02-06,"{'1d_1w': 0.0364251232671606, '1m_3m': 0.189117381315022, '1w_1m': 0.0958298267805974, '1y_2y': 0.0828406742907298, '24h': 0.00601492113483233, '2y_3y': 0, '3m_6m': 0.134031819707257, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.455740253504402, '7y_10y': 0, 'more_10y': 0}"
2010-02-07,"{'1d_1w': 0.0380705447450839, '1m_3m': 0.190271602402834, '1w_1m': 0.0956040457976074, '1y_2y': 0.0859988499255532, '24h': 0.00572470092930123, '2y_3y': 0, '3m_6m': 0.133028459208297, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.451301796991323, '7y_10y': 0, 'more_10y': 0}"
