t,market_mvrv_more_155,addresses_accumulation_balance,addresses_new_non_zero_count,indicators_sopr_account_based,indicators_sopr_adjusted,transactions_rate,market_mvrv,addresses_accumulation_count,entities_receiving_count,market_marketcap_usd,indicators_nvts,addresses_min_1k_count,indicators_puell_multiple,transactions_transfers_volume_entity_adjusted_sum,entities_net_growth_count,indicators_sopr_more_155,market_price_drawdown_relative,entities_min_1k_count,market_price_realized_usd,market_mvrv_less_155,indicators_net_unrealized_profit_loss_account_based,transactions_transfers_volume_adjusted_sum,indicators_hodled_lost_coins,indicators_sopr,addresses_profit_relative,entities_new_count,market_mvrv_z_score,indicators_mvrv_account_based,transactions_size_sum,entities_profit_relative,transactions_transfers_volume_miners_net,indicators_nupl_more_155_account_based,indicators_liveliness,indicators_liveliness_account_based,transactions_entity_adjusted_count,transactions_count,addresses_min_10k_count,indicators_reserve_risk,indicators_realized_profit,addresses_count,indicators_nupl_more_155,addresses_active_count,market_marketcap_realized_usd,market_price_usd_close,addresses_non_zero_count,indicators_nvt,entities_active_count,indicators_net_unrealized_profit_loss,indicators_sopr_less_155
2019-09-20,2.2150504552881296,2270477.77417862,373328.0,1.0140394519116098,1.00698172432544,3.944189814814815,1.775770375928726,448230.0,174191.0,182967865504.3801,24.594971274122237,2052.0,1.56674507622365,287765.48833407,8214.0,1.89226616343256,-0.4860854128074434,1740.0,5740.829865320863,1.03397850911871,0.41983542902694104,638535.629464489,6972412.302407612,1.0032257513076601,0.7923483969208199,98300.0,1.45512753759848,1.72723970963882,157021480.0,0.8189342676302703,-124.635702565296,0.582940530207492,0.6115190546849809,0.612436976278167,243215.0,340778.0,106.0,0.002967897608063025,54742527.8712165,559388805.0,0.5485430150755091,731501.0,103035768579.419,10181.6413094,26806607.0,28.107887284304066,228602.0,0.435616509878906,1.00009557856607
2019-09-21,2.18035613581889,2269081.80414266,340491.0,1.00504004162805,1.00282424962658,3.8871180555555553,1.7549085189396705,448253.0,145193.0,180870798328.0344,24.373940988857697,2054.0,1.6992193552617199,192480.78448727,5732.0,2.30281865159301,-0.4942584870981116,1740.0,5741.831290394562,1.01707505263316,0.410665649957035,564286.03893582,6975953.99964871,1.00091641469313,0.7685795697677138,83194.0,1.4150940206862501,1.7068098004804,146802539.0,0.8036939467987954,626.6794056795567,0.576276153577021,0.6113666532925229,0.612305292808537,209351.0,335847.0,106.0,0.002927164985344369,29876424.176289197,559729296.0,0.5413593295278691,644721.0,103065656343.909,10019.716910100002,26834429.0,31.81004182533314,192250.0,0.42681814142016405,0.9977577677634609
2019-09-22,2.19031568403132,2267452.89311305,298974.0,1.00724699555503,0.9997682256415309,3.6868865740740735,1.7442498097220391,448752.0,137875.0,179804139765.68274,24.459814451733827,2054.0,1.6866584228448303,119679.05484404,6188.0,1.71902466182842,-0.4917006752683653,1738.0,5742.185994224445,1.02141133250546,0.413305290784073,371335.564654641,6980634.6930972375,0.9999915650249979,0.7798267033018015,73857.0,1.39409237940776,1.69681901452984,141169016.0,0.8102452248248394,372.02618343164886,0.578152119414095,0.611150840505027,0.6121060207927671,186593.0,318547.0,106.0,0.00290329732387553,15837422.3023986,560028270.0,0.5434448069332728,596339.0,103083938300.29199,10070.392106399999,26878649.0,48.34451425813795,181951.0,0.42947400265905106,0.9960054542970309
2019-09-23,2.11775120979525,2264639.93834319,353522.0,1.0020640706299,0.9927255433682559,3.3337384259259264,1.7291215885186841,452380.0,180524.0,178241674627.92194,24.560997821308156,2049.0,1.1464234092043302,184053.74765999,9509.0,1.23424704651928,-0.5089159739498512,1737.0,5741.63395815459,0.9874355424692701,0.392967697545651,433892.56281218,6983542.151575482,0.9984543357292821,0.7446279151600727,99746.0,1.3649011831829099,1.6797341607371201,141740165.0,0.7872348090720125,-187.17336601606732,0.563626803602702,0.611019760028157,0.612001601159818,230463.0,288035.0,106.0,0.002871733897209851,31554204.233975,560381792.0,0.527801001659358,724605.0,103082209956.455,9729.32376435,26907821.0,41.37766820348003,231974.0,0.409570788545416,0.9888643270488331
2019-09-24,1.87656248009615,2267988.69040039,400332.0,0.978320146470498,0.997713360619885,4.086875,1.6504500592682023,451998.0,190607.0,170268624251.92438,23.697491612152554,2140.0,1.4970403143889401,319168.79518708,9267.0,1.9159262263450603,-0.5648800913093273,1743.0,5745.615378177347,0.879525277969511,0.315424443215819,943980.13693136,6983379.27507019,0.9980668704478629,0.6921275110380968,107517.0,1.21771112781247,1.59528114102802,182627349.0,0.7383086688873629,-676.2224627099922,0.507278354845466,0.611071346121287,0.61198832332021,263123.0,353106.0,108.0,0.002737560588516992,323007322.272233,560782124.0,0.4671107353970102,836545.0,103164966001.71,8620.56642733,26886370.0,19.02097755824453,251810.0,0.33260788269131003,0.942250042065586
2019-09-25,1.8474591561003,2260855.65911806,376529.0,0.92847574517227,0.9338612742991109,4.023043981481481,1.4835750382580828,453048.0,182359.0,152426505433.32385,21.41484683141832,2158.0,1.3374138049670001,332916.65525632,7862.0,1.6890118581951898,-0.5716221621640125,1741.0,5721.476565253774,0.8733739737785,0.30592500927219396,844202.55133542,6977338.659182172,0.972314541692055,0.6903603566274074,100901.0,0.901124031833015,1.4375594305342299,172247288.0,0.7338912223038168,-273.86482535470714,0.499288452636401,0.611449966424259,0.6122840142411939,255060.0,347591.0,108.0,0.002446303010257441,88199403.8225989,561158653.0,0.4587160443044137,799467.0,102742700235.974,8486.99297206,26863403.0,21.271405744502594,239069.0,0.32486628248086796,0.922341638679547
2019-09-26,1.76509123256251,2261402.79146814,375254.0,0.9529314921105381,0.9302389507888791,4.115787037037037,1.4559681276815382,453564.0,172843.0,149157980713.1287,21.16749658090395,2178.0,1.4358147691022802,242932.20332637,8373.0,1.80438489389908,-0.5901981086095646,1743.0,5704.2701268674755,0.837646507693124,0.27515792207624,615773.43626565,6979001.046070278,0.962946828148687,0.6651275103410711,97528.0,0.846769860164382,1.4117191467441002,165930682.0,0.7093977972232903,453.9608084593933,0.475651231007711,0.61140364772873,0.612229329597121,244828.0,355604.0,108.0,0.002389661940316155,67295802.6569292,561533907.0,0.4334570465526431,747707.0,102445910646.85301,8118.96756783,26868048.0,29.165779883125897,227456.0,0.297195410987861,0.920486762412119
2019-09-27,1.79341020204961,2268933.63616912,346847.0,0.945569929070134,0.985056814904885,3.5158680555555555,1.4187139791293346,453964.0,165365.0,145261450095.7975,20.868775895604678,2190.0,1.07823103875471,236538.14240510002,9737.0,1.7752964166593999,-0.5834911411273813,1748.0,5700.606782087462,0.8524948320082121,0.287544886608325,627536.51889638,6980586.681442313,0.993453826736513,0.6830311812831308,90630.0,0.776862145637078,1.37538180278523,144545185.0,0.7244793114685427,-736.174725397706,0.48395218432674,0.6113510647519439,0.61216293179805,225933.0,303771.0,108.0,0.0023233420609410057,82699608.291681,561880754.0,0.4424030827653687,701097.0,102389524761.675,8251.84555744,26894123.0,28.621700824021328,212899.0,0.30952302026901396,0.9658977292750079
2019-09-28,1.7917339056062,2267480.83699932,320722.0,0.9604573595020559,0.970720704255287,3.637430555555556,1.441040209531642,454759.0,139441.0,147468931712.89368,21.661015746470078,2184.0,1.31689047854247,154543.66158981,5875.0,1.4449571874033702,-0.5837904760128172,1745.0,5696.943844117262,0.8523543572206241,0.287295655586882,434223.614402371,6982856.208162053,0.986786193079852,0.684325055963737,78791.0,0.8174572362137601,1.39677167941192,141008977.0,0.7246377030819263,498.4423171327389,0.48344066307096994,0.6112677226342789,0.612082068730325,202045.0,314274.0,108.0,0.002354582195342029,28431342.993337605,562201476.0,0.4418814105872108,629977.0,102335056813.455,8245.91515478,26912384.0,41.36843184984994,186225.0,0.30993936871864397,0.9660982513054169
2019-09-29,1.7616857068933898,2268215.49509125,293726.0,0.96787203358942,0.983584505275058,3.303310185185185,1.4272538284669738,455255.0,132334.0,146026977919.62766,21.624198461174167,2179.0,1.11435645407259,145222.19898015,6154.0,1.56395791977283,-0.590944219162068,1746.0,5695.190892663172,0.838708296776434,0.275386327443035,410418.81047975103,6985872.520965736,0.9930522406467172,0.6666928703109829,72946.0,0.7914213084287679,1.38264558935648,122219124.0,0.7094300757863091,133.56452239166674,0.474606594549239,0.6111366072655361,0.611980149082311,184953.0,285406.0,108.0,0.0023276363234857786,23656396.9988349,562495202.0,0.4323618588224626,560909.0,102313250108.06,8104.18567564,26946684.0,43.77199470706604,172989.0,0.29704176805405297,0.975120347381593
2019-09-30,1.80129814255745,2269412.03675318,361882.0,0.9592238089039791,0.981575414288583,3.6026157407407413,1.4241970607927532,455533.0,171153.0,145624574971.8924,21.639864300522863,2173.0,1.0625545734303599,225045.73226966,10965.0,1.4647035591182398,-0.5813700869411625,1743.0,5691.1719616079945,0.8584972546956329,0.29185542015596805,607529.74037717,6988698.1428449275,0.9936728565048492,0.6943356432939665,97197.0,0.784980683979197,1.37995332867181,149518774.0,0.7311395921871079,491.72229908167276,0.486061452868812,0.611014506582681,0.6118916455075311,240224.0,311266.0,108.0,0.002317425854396338,59469246.427893005,562857084.0,0.4448448169828131,740476.0,102250298768.931,8293.86774062,26954498.0,29.57299668794149,223330.0,0.31393667796325603,0.975961404196328
2019-10-01,1.8130089995883603,2268540.73142521,389286.0,0.964074714069784,0.9780086942816479,3.901631944444445,1.4728194102164411,455941.0,184563.0,150523086401.81116,22.476673046679224,2172.0,1.20793890853294,260633.7240178,9856.0,1.4495701516299098,-0.5788761888914313,1744.0,5687.842107702233,0.864599906178962,0.296998747858406,566074.52368667,6990767.04627406,0.9923256620120121,0.6955670768487464,105080.0,0.87413129262225,1.42795456277748,160113968.0,0.733153329621962,-123.68576609403772,0.4892823856410371,0.6109380611356241,0.611887112674438,261075.0,337101.0,108.0,0.0023912603086935352,47630554.9741441,563246370.0,0.44843075780260994,772736.0,102200640049.747,8343.276681399999,26968065.0,31.741867454091047,240884.0,0.318540868529503,0.975681219159287
2019-10-02,1.8236641913231297,2268969.73195471,366963.0,0.975788124997364,0.986137316976692,3.777881944444444,1.457913477400724,456849.0,173396.0,148964369257.7968,22.412297583701672,2173.0,1.23550643243227,194013.70876678,9009.0,1.60521228333777,-0.5763643207283301,1741.0,5685.908353409362,0.8700308827287581,0.30141563639560304,437793.85994729993,6994364.0861808425,0.9946568814588709,0.7041496887647363,100596.0,0.845985521327031,1.41307490455578,148825379.0,0.73842977014972,101.5191397252688,0.49220780917059204,0.610777946649981,0.611791708000271,236561.0,326409.0,107.0,0.002362485667895452,23864806.2486943,563613333.0,0.4516534322722725,714450.0,102176412775.456,8393.04164486,26993198.0,41.04697243164437,227202.0,0.324337055952825,0.9821904602707
2019-10-03,1.7950116268015301,2265272.43672541,359537.0,0.9657506955065269,0.9792942211376691,3.777395833333333,1.4556690431163546,456926.0,168127.0,148684296679.47986,22.447976539871718,2170.0,1.2239619685957,195687.19843387,10185.0,1.5403861582003,-0.5830799535245446,1742.0,5683.387332681596,0.8537293873845841,0.29132548126884,529762.50907803,6997838.719927385,0.9919502657558241,0.6888414175298772,95413.0,0.841172074766539,1.41119493556451,152543233.0,0.7273035096092151,217.73076923006784,0.48393356319159997,0.6106244052577829,0.611678127244625,230333.0,326367.0,107.0,0.0023539401067608533,24273508.455308802,563972870.0,0.4429005444483577,704746.0,102141552973.58699,8259.99197863,27014610.0,33.92454107648616,219425.0,0.31107446061148997,0.9736933364221071
2019-10-04,1.7813350694068601,2264156.17035499,366334.0,0.97565983475975,0.9847379805782659,3.901331018518519,1.4426965576490107,457382.0,168938.0,147322966475.23102,22.26740797759539,2171.0,1.21239209265503,193915.04548037,9394.0,2.03637108115231,-0.5858082454957202,1742.0,5681.406408370855,0.847602503436729,0.286263698198851,511988.00288108,7001280.5682168575,0.993929446405643,0.6794491047840086,93724.0,0.8166660712542959,1.3993497622008202,159721482.0,0.7193102175337136,111.83937092708128,0.479900335242742,0.610472719329921,0.61156901060335,227883.0,337075.0,108.0,0.002328262033490994,23110203.0883144,564339204.0,0.4386233016043552,712814.0,102116391485.196,8205.93924121,27052394.0,35.105876307368845,219958.0,0.30690506264725803,0.9772476055656759
2019-10-05,1.77053220820543,2263657.41259616,327334.0,0.982833534578663,0.991431702540054,3.779224537037037,1.4338582420716222,458234.0,144193.0,146423868103.68292,22.17924983178484,2170.0,1.29379623836195,133722.92355812,6342.0,1.61408020698096,-0.5885560193913637,1741.0,5680.915598202358,0.8422666214845759,0.28228164495131897,354556.37982785,7005037.359588301,0.9965000821042008,0.6699984189682485,81023.0,0.800012236442568,1.3912005304171597,139846172.0,0.7121983151264362,-16.72119416929445,0.476756129847516,0.6103065247113549,0.6114335089090811,202624.0,326525.0,108.0,0.002309901373873764,12602997.5961694,564666538.0,0.4351980747000493,633812.0,102118789575.831,8151.50052921,27080980.0,50.699306295737465,188747.0,0.30326728972148903,0.9857232030106311
2019-10-06,1.7332223206558701,2264344.70486637,295455.0,0.962511355290016,0.977345940700371,3.211388888888889,1.4186720194672668,458754.0,132121.0,144847807616.60806,22.26919313364093,2169.0,1.20476151184471,115590.94306196,6399.0,1.19311097348726,-0.5968007762906061,1743.0,5679.336559276879,0.8249703827610799,0.267035381197415,382912.91458423,7009477.872538892,0.992160702688511,0.6454821559461008,73439.0,0.771552390894157,1.37547582537651,121084903.0,0.6940234728913205,593.5390868064441,0.465473768682971,0.610099895145277,0.611245059090269,180838.0,277464.0,108.0,0.0022809968991740212,8677891.775892701,564961993.0,0.4230399712244709,563657.0,102100982911.47,7988.15595888,27119623.0,46.949643940634004,173738.0,0.288460880001024,0.9743344168159058
2019-10-07,1.78936281527887,2253054.66979372,367462.0,0.9722686879790009,0.990242301103025,3.803796296296296,1.4252987224906015,458443.0,175562.0,145496031224.20346,22.703655437497353,2167.0,1.25765032499859,225527.43840181,8984.0,1.2845407806188,-0.5838052257993078,1739.0,5677.617506772092,0.852203792739842,0.29019601347842405,487729.72986537,7012803.874657472,0.995589233586267,0.6928336692197621,99651.0,0.7832666817230991,1.3820916981897602,155841482.0,0.7280695141659755,137.91741562325205,0.48215940039132105,0.6099569233312839,0.611138740793058,233290.0,328648.0,108.0,0.0022871465124316755,41386736.309126295,565329455.0,0.4411418458787235,736366.0,102081078814.10301,8245.622933,27121032.0,36.863782129834426,229646.0,0.311529943421954,0.9842667068936619
2019-10-08,1.78626725815098,2255419.07027687,365814.0,0.993896106787345,0.999592646632005,3.891111111111111,1.4514588645877042,458536.0,172117.0,148200174157.19394,23.586913403789115,2171.0,1.33794969179886,214203.91112074,6585.0,1.42134320882373,-0.5846552074895788,1740.0,5678.268848983273,0.851343769381634,0.288782280254858,507575.353924021,7014407.2282635225,0.999822324721841,0.6897821538965516,98900.0,0.8312293933979359,1.40882999275308,156511265.0,0.7254621815164997,125.44831057311558,0.48144572198477403,0.609911681698653,0.611148306290021,236374.0,336192.0,108.0,0.002325505762158379,69461792.1656098,565695269.0,0.4401733584731712,719570.0,102104288156.517,8228.7831528,27134706.0,35.4264393670534,227630.0,0.30985859249360803,0.979768218407838
