t,entities_active_count
2011-04-20,2019
2011-04-21,1959
2011-04-22,1976
2011-04-23,2097
2011-04-24,2097
2011-04-25,2379
2011-04-26,2396
2011-04-27,2458
2011-04-28,2697
2011-04-29,2768
2011-04-30,3163
2011-05-01,3041
2011-05-02,2691
2011-05-03,2722
2011-05-04,2847
2011-05-05,3038
2011-05-06,3073
2011-05-07,2887
2011-05-08,2917
2011-05-09,3443
2011-05-10,3327
2011-05-11,3266
2011-05-12,3570
2011-05-13,4401
2011-05-14,3934
2011-05-15,3634
2011-05-16,6328
2011-05-17,5247
2011-05-18,6067
2011-05-19,6281
2011-05-20,5452
2011-05-21,4369
2011-05-22,4448
2011-05-23,5044
2011-05-24,5795
2011-05-25,6746
2011-05-26,6113
2011-05-27,4840
2011-05-28,5401
2011-05-29,4943
2011-05-30,5995
2011-05-31,6461
2011-06-01,5876
2011-06-02,6505
2011-06-03,7404
2011-06-04,8432
2011-06-05,7609
2011-06-06,8969
2011-06-07,7900
2011-06-08,10833
2011-06-09,10699
2011-06-10,9901
2011-06-11,9711
2011-06-12,11032
2011-06-13,10785
2011-06-14,11657
2011-06-15,11065
2011-06-16,11523
2011-06-17,11449
2011-06-18,11516
2011-06-19,12372
2011-06-20,12662
2011-06-21,12383
2011-06-22,12762
2011-06-23,11574
2011-06-24,11460
2011-06-25,10234
2011-06-26,10623
2011-06-27,13194
2011-06-28,12010
2011-06-29,11795
2011-06-30,11063
2011-07-01,17149
2011-07-02,22458
2011-07-03,12244
2011-07-04,11625
2011-07-05,11829
2011-07-06,13493
2011-07-07,11739
2011-07-08,13669
2011-07-09,12681
2011-07-10,17962
2011-07-11,12752
2011-07-12,12645
2011-07-13,15403
2011-07-14,17949
2011-07-15,14291
2011-07-16,12756
2011-07-17,13791
2011-07-18,13101
2011-07-19,13367
2011-07-20,13830
2011-07-21,14626
2011-07-22,12759
2011-07-23,12461
2011-07-24,12880
2011-07-25,14573
2011-07-26,12243
2011-07-27,13274
2011-07-28,13737
2011-07-29,12883
2011-07-30,12008
2011-07-31,13813
2011-08-01,13157
2011-08-02,10554
2011-08-03,8317
2011-08-04,8836
2011-08-05,11995
2011-08-06,11906
2011-08-07,11381
2011-08-08,11807
2011-08-09,11979
2011-08-10,8975
2011-08-11,8351
2011-08-12,7618
2011-08-13,9253
2011-08-14,11234
2011-08-15,8168
2011-08-16,8495
2011-08-17,10072
2011-08-18,10920
2011-08-19,12155
2011-08-20,12127
2011-08-21,12698
2011-08-22,15060
2011-08-23,12969
2011-08-24,12128
2011-08-25,13096
2011-08-26,11016
2011-08-27,11207
2011-08-28,11476
2011-08-29,9143
2011-08-30,7713
2011-08-31,7888
2011-09-01,7330
2011-09-02,7052
2011-09-03,6448
2011-09-04,7825
2011-09-05,8692
2011-09-06,7468
2011-09-07,7038
2011-09-08,6580
2011-09-09,7513
2011-09-10,6283
2011-09-11,6394
2011-09-12,6958
2011-09-13,6547
2011-09-14,6424
2011-09-15,6920
2011-09-16,6402
2011-09-17,6030
2011-09-18,6846
2011-09-19,6810
2011-09-20,11218
2011-09-21,6706
2011-09-22,9333
2011-09-23,12128
2011-09-24,12006
2011-09-25,12054
2011-09-26,10510
2011-09-27,10809
2011-09-28,6308
2011-09-29,5987
2011-09-30,5931
2011-10-01,5831
2011-10-02,5548
2011-10-03,6015
2011-10-04,6338
2011-10-05,6265
2011-10-06,6251
2011-10-07,6242
2011-10-08,5547
2011-10-09,5361
2011-10-10,5867
2011-10-11,6155
2011-10-12,5867
2011-10-13,5259
2011-10-14,5967
2011-10-15,5737
2011-10-16,5403
2011-10-17,6379
2011-10-18,5830
2011-10-19,5614
2011-10-20,5335
2011-10-21,5577
2011-10-22,5715
2011-10-23,6112
2011-10-24,6236
2011-10-25,6213
2011-10-26,5709
2011-10-27,5337
2011-10-28,5833
2011-10-29,6154
2011-10-30,5722
2011-10-31,5540
2011-11-01,5707
2011-11-02,5672
2011-11-03,5723
2011-11-04,6784
2011-11-05,5939
2011-11-06,5612
2011-11-07,5964
2011-11-08,6074
2011-11-09,6475
2011-11-10,6725
2011-11-11,5743
2011-11-12,5949
2011-11-13,6136
2011-11-14,6317
2011-11-15,6729
2011-11-16,6424
2011-11-17,5603
2011-11-18,5573
2011-11-19,5166
2011-11-20,5372
2011-11-21,5379
2011-11-22,5899
2011-11-23,5969
2011-11-24,5588
2011-11-25,6023
2011-11-26,5475
2011-11-27,5916
2011-11-28,6182
2011-11-29,6890
2011-11-30,6853
2011-12-01,7055
2011-12-02,6498
2011-12-03,6182
2011-12-04,6224
2011-12-05,6854
2011-12-06,7028
2011-12-07,6449
2011-12-08,6297
2011-12-09,5982
2011-12-10,5715
2011-12-11,5739
2011-12-12,5664
2011-12-13,6414
2011-12-14,6172
2011-12-15,5105
2011-12-16,5224
2011-12-17,5199
2011-12-18,5019
2011-12-19,6013
2011-12-20,6250
2011-12-21,5799
2011-12-22,5995
2011-12-23,6121
2011-12-24,5267
2011-12-25,6077
2011-12-26,6320
2011-12-27,5865
2011-12-28,5289
2011-12-29,5538
2011-12-30,5332
2011-12-31,5222
2012-01-01,5524
2012-01-02,5802
2012-01-03,5971
2012-01-04,6062
2012-01-05,7073
2012-01-06,6808
2012-01-07,6218
2012-01-08,6695
2012-01-09,6472
2012-01-10,7223
2012-01-11,7214
2012-01-12,6641
2012-01-13,6914
2012-01-14,7043
2012-01-15,6319
2012-01-16,7084
2012-01-17,6887
2012-01-18,7205
2012-01-19,7242
2012-01-20,6782
2012-01-21,6682
2012-01-22,5857
2012-01-23,6788
2012-01-24,6952
2012-01-25,7701
2012-01-26,6971
2012-01-27,7026
2012-01-28,6497
2012-01-29,6406
2012-01-30,6556
2012-01-31,7397
2012-02-01,7282
2012-02-02,7563
2012-02-03,7167
2012-02-04,7245
2012-02-05,6606
2012-02-06,6327
2012-02-07,6617
2012-02-08,6775
2012-02-09,6693
2012-02-10,6771
2012-02-11,6193
2012-02-12,6235
2012-02-13,6646
2012-02-14,7193
2012-02-15,7449
2012-02-16,7842
2012-02-17,6437
2012-02-18,6885
2012-02-19,6595
2012-02-20,6767
2012-02-21,6991
2012-02-22,7589
2012-02-23,7870
2012-02-24,7499
2012-02-25,6711
2012-02-26,6456
2012-02-27,6854
2012-02-28,7253
2012-02-29,7174
2012-03-01,6810
2012-03-02,7615
2012-03-03,5884
2012-03-04,7047
2012-03-05,7462
2012-03-06,7019
2012-03-07,6767
2012-03-08,6976
2012-03-09,7054
2012-03-10,6027
2012-03-11,5869
2012-03-12,6288
2012-03-13,7281
2012-03-14,7180
2012-03-15,7023
2012-03-16,7425
2012-03-17,7622
2012-03-18,6717
2012-03-19,6929
2012-03-20,7494
2012-03-21,7604
2012-03-22,7405
2012-03-23,6621
2012-03-24,6489
2012-03-25,6446
2012-03-26,7016
2012-03-27,7021
2012-03-28,7145
2012-03-29,7477
2012-03-30,6668
2012-03-31,6438
2012-04-01,5857
2012-04-02,6758
2012-04-03,7660
2012-04-04,7355
2012-04-05,7221
2012-04-06,7090
2012-04-07,6668
2012-04-08,6393
2012-04-09,6834
2012-04-10,7413
2012-04-11,8117
2012-04-12,7884
2012-04-13,6883
2012-04-14,7478
2012-04-15,7181
2012-04-16,7810
