t,indicators_hodled_lost_coins
2010-04-17,2458949.347229157
2010-04-18,2471474.8331818697
2010-04-19,2483034.944347805
2010-04-20,2491337.986812396
2010-04-21,2501856.63110386
2010-04-22,2509398.467233991
2010-04-23,2516736.7180481376
2010-04-24,2524765.2182033295
2010-04-25,2531631.4523381093
2010-04-26,2539265.813207319
2010-04-27,2547222.290627745
2010-04-28,2556469.9391642446
2010-04-29,2563915.096141503
2010-04-30,2566289.03321296
2010-05-01,2572345.724579707
2010-05-02,2580483.895534195
2010-05-03,2588519.4883872285
2010-05-04,2595203.011295354
2010-05-05,2600514.409862943
2010-05-06,2606827.8248798256
2010-05-07,2611148.366433887
2010-05-08,2617762.753724551
2010-05-09,2623274.920139293
2010-05-10,2629701.406087571
2010-05-11,2635162.6438595527
2010-05-12,2640989.5815723543
2010-05-13,2646536.411630047
2010-05-14,2652358.755725872
2010-05-15,2656642.2593454537
2010-05-16,2662416.3179879515
2010-05-17,2669532.022756552
2010-05-18,2677240.213042653
2010-05-19,2685261.9477735427
2010-05-20,2695504.5356655186
2010-05-21,2704575.391929797
2010-05-22,2712378.4802808473
2010-05-23,2721643.248806458
2010-05-24,2731415.220797259
2010-05-25,2742298.0730665056
2010-05-26,2753487.5632451386
2010-05-27,2762598.226149756
2010-05-28,2760843.1270879353
2010-05-29,2765029.563485001
2010-05-30,2772058.102138744
2010-05-31,2779450.6369290897
2010-06-01,2786382.8784679337
2010-06-02,2793089.5284876237
2010-06-03,2800575.0141635644
2010-06-04,2803863.57369616
2010-06-05,2810612.0676521864
2010-06-06,2818341.782128182
2010-06-07,2825210.3475801153
2010-06-08,2830798.7449790053
2010-06-09,2835915.787666589
2010-06-10,2839999.1864012685
2010-06-11,2847187.2483111257
2010-06-12,2853559.63679576
2010-06-13,2862437.2831423325
2010-06-14,2868744.983130037
2010-06-15,2876351.75272977
2010-06-16,2883715.5450201123
2010-06-17,2889034.010340509
2010-06-18,2894488.510161465
2010-06-19,2898206.582898203
2010-06-20,2903699.389582489
2010-06-21,2911479.8275697967
2010-06-22,2919517.620511914
2010-06-23,2929114.156023851
2010-06-24,2936572.869546057
2010-06-25,2941468.768581757
2010-06-26,2948770.313185155
2010-06-27,2956977.785698922
2010-06-28,2965018.5665416364
2010-06-29,2971367.1209748965
2010-06-30,2976505.807070314
2010-07-01,2984401.733890513
2010-07-02,2992639.557387644
2010-07-03,3000561.297597019
