t,addresses_accumulation_count
2012-07-20,37977
2012-07-21,38004
2012-07-22,38116
2012-07-23,38101
2012-07-24,38158
2012-07-25,38238
2012-07-26,38260
2012-07-27,38284
2012-07-28,38383
2012-07-29,38348
2012-07-30,38338
2012-07-31,38344
2012-08-01,38421
2012-08-02,38376
2012-08-03,38401
2012-08-04,38378
2012-08-05,38366
2012-08-06,38369
2012-08-07,38368
2012-08-08,38424
2012-08-09,38464
2012-08-10,38455
2012-08-11,38481
2012-08-12,38531
2012-08-13,38602
2012-08-14,38678
2012-08-15,38734
2012-08-16,38712
2012-08-17,38665
2012-08-18,38639
2012-08-19,38034
2012-08-20,38121
2012-08-21,38235
2012-08-22,38317
2012-08-23,38349
2012-08-24,38418
2012-08-25,38500
2012-08-26,38610
2012-08-27,38736
2012-08-28,38776
2012-08-29,38885
2012-08-30,39057
2012-08-31,39018
2012-09-01,39248
2012-09-02,39305
2012-09-03,39364
2012-09-04,39555
2012-09-05,39667
2012-09-06,39802
2012-09-07,40012
2012-09-08,40124
2012-09-09,40252
2012-09-10,40424
2012-09-11,40664
2012-09-12,40852
2012-09-13,41037
2012-09-14,41219
2012-09-15,41387
2012-09-16,41456
2012-09-17,41668
2012-09-18,41995
2012-09-19,42121
2012-09-20,42384
2012-09-21,42428
2012-09-22,42564
2012-09-23,42692
2012-09-24,42789
2012-09-25,42843
2012-09-26,42855
2012-09-27,42766
2012-09-28,42544
2012-09-29,42171
2012-09-30,41659
2012-10-01,41868
2012-10-02,41363
2012-10-03,40488
2012-10-04,40305
2012-10-05,40373
2012-10-06,40379
2012-10-07,40457
2012-10-08,40546
2012-10-09,40584
2012-10-10,40683
2012-10-11,40695
2012-10-12,40698
2012-10-13,40745
2012-10-14,40773
2012-10-15,40830
2012-10-16,40862
2012-10-17,40890
2012-10-18,40863
2012-10-19,40831
2012-10-20,40884
2012-10-21,40900
2012-10-22,40937
2012-10-23,40966
2012-10-24,40971
2012-10-25,40977
2012-10-26,40949
2012-10-27,40839
2012-10-28,40903
2012-10-29,40950
2012-10-30,40978
2012-10-31,41000
2012-11-01,41026
2012-11-02,41078
2012-11-03,41103
2012-11-04,41128
2012-11-05,41160
2012-11-06,41178
2012-11-07,41156
2012-11-08,41224
2012-11-09,41251
2012-11-10,41325
2012-11-11,41298
2012-11-12,41265
2012-11-13,41371
2012-11-14,41545
2012-11-15,41666
2012-11-16,41685
2012-11-17,41827
2012-11-18,41801
2012-11-19,41752
2012-11-20,41766
2012-11-21,41796
2012-11-22,41847
2012-11-23,41595
2012-11-24,41649
2012-11-25,41841
2012-11-26,41710
2012-11-27,41794
2012-11-28,42014
2012-11-29,41840
2012-11-30,41869
2012-12-01,41897
2012-12-02,42013
2012-12-03,42062
2012-12-04,42142
2012-12-05,42083
2012-12-06,42165
2012-12-07,42314
