t,distribution_balance_exchanges
2012-07-25,3117.294943960002
2012-07-26,3365.540658950002
2012-07-27,4588.9220829700025
2012-07-28,5484.055472910002
2012-07-29,5579.722380290002
2012-07-30,4110.3432144200015
2012-07-31,185.8806194800016
2012-08-01,1340.3285145900018
2012-08-02,1859.5793222500017
2012-08-03,2522.0145780900016
2012-08-04,2929.1069530200016
2012-08-05,262.9314978500014
2012-08-06,22.769625480001377
2012-08-07,776.2601030400016
2012-08-08,1646.4624278500016
2012-08-09,2762.360459960001
2012-08-10,1399.7227302300012
2012-08-11,341.3577728200012
2012-08-12,356.86505773000124
2012-08-13,1926.5337417400012
2012-08-14,3010.5965246600013
2012-08-15,2863.056974930001
2012-08-16,2722.8454789900006
2012-08-17,4205.089342540001
2012-08-18,230.79222755000043
2012-08-19,1704.3190542300003
2012-08-20,735.9802675400005
2012-08-21,2020.2803344900003
2012-08-22,4588.14645785
2012-08-23,4652.1527900599995
2012-08-24,3705.63005114
2012-08-25,3538.39786343
2012-08-26,3621.809056
2012-08-27,3999.59211106
2012-08-28,2487.0747863799998
2012-08-29,564.3779544800001
2012-08-30,2760.6786768
2012-08-31,2890.57456745
2012-09-01,2581.38886048
2012-09-02,2443.19534863
2012-09-03,3563.86952624
2012-09-04,2597.15194508
2012-09-05,1407.96643051
2012-09-06,1735.49160171
2012-09-07,3162.4004450099997
2012-09-08,943.8415676199999
2012-09-09,106.31985107999988
2012-09-10,1205.61177353
2012-09-11,40.033562070000016
2012-09-12,740.30065194
2012-09-13,1086.14260115
2012-09-14,561.96272724
2012-09-15,721.7075078800001
2012-09-16,39.308982290000046
2012-09-17,143.64901477000004
2012-09-18,710.67876258
2012-09-19,1304.0827880100003
2012-09-20,1327.3871647200003
2012-09-21,197.36940749000027
2012-09-22,762.6115188100002
2012-09-23,1200.37876882
2012-09-24,27.900019839999892
2012-09-25,239.37570522999988
2012-09-26,1017.1522981699999
2012-09-27,408.9924697599999
2012-09-28,38.99378983999986
2012-09-29,241.80446309999988
2012-09-30,370.4480827699998
2012-10-01,897.6599779899998
