t,o
2010-08-15,"{'1d_1w': 0.0507203882289555, '1m_3m': 0.196791820756815, '1w_1m': 0.121222969285579, '1y_2y': 0.267723718597808, '24h': 0.00704161642548809, '2y_3y': 0, '3m_6m': 0.158696033815549, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.197803452889688, '7y_10y': 0, 'more_10y': 0}"
2010-08-16,"{'1d_1w': 0.037270613673383, '1m_3m': 0.19683879269129, '1w_1m': 0.125782227707921, '1y_2y': 0.267116281624997, '24h': 0.0169201072063367, '2y_3y': 0, '3m_6m': 0.150560154199608, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.205511822896348, '7y_10y': 0, 'more_10y': 0}"
2010-08-17,"{'1d_1w': 0.0429830152204521, '1m_3m': 0.199948390471331, '1w_1m': 0.123150769115206, '1y_2y': 0.266608923351931, '24h': 0.0110195999995307, '2y_3y': 0, '3m_6m': 0.149489437154757, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.206799864686677, '7y_10y': 0, 'more_10y': 0}"
2010-08-18,"{'1d_1w': 0.0395764830053146, '1m_3m': 0.203705262076193, '1w_1m': 0.123535008532194, '1y_2y': 0.265762494440247, '24h': 0.0120072144647248, '2y_3y': 0, '3m_6m': 0.148129454743405, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.207284082737807, '7y_10y': 0, 'more_10y': 0}"
2010-08-19,"{'1d_1w': 0.0440619550437808, '1m_3m': 0.19732387795432, '1w_1m': 0.122114622613305, '1y_2y': 0.265311412545627, '24h': 0.00735273108100248, '2y_3y': 0, '3m_6m': 0.155826647423823, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.208008753338028, '7y_10y': 0, 'more_10y': 0}"
2010-08-20,"{'1d_1w': 0.0396323094776596, '1m_3m': 0.198982810322527, '1w_1m': 0.124332295308902, '1y_2y': 0.264642999607876, '24h': 0.00902789769168594, '2y_3y': 0, '3m_6m': 0.153049546951497, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.210332140639738, '7y_10y': 0, 'more_10y': 0}"
2010-08-21,"{'1d_1w': 0.0382383357893053, '1m_3m': 0.201064890381543, '1w_1m': 0.120705260303929, '1y_2y': 0.263875286770049, '24h': 0.0127129405302181, '2y_3y': 0, '3m_6m': 0.150712248073276, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.212691038151566, '7y_10y': 0, 'more_10y': 0}"
2010-08-22,"{'1d_1w': 0.0457068231875695, '1m_3m': 0.202796106750489, '1w_1m': 0.119259076111254, '1y_2y': 0.262985891341022, '24h': 0.00670354286943078, '2y_3y': 0, '3m_6m': 0.148792344909022, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.213756214831099, '7y_10y': 0, 'more_10y': 0}"
2010-08-23,"{'1d_1w': 0.0386993526198497, '1m_3m': 0.21070395732129, '1w_1m': 0.118485414600078, '1y_2y': 0.262229584980666, '24h': 0.00772858470599398, '2y_3y': 0, '3m_6m': 0.147657400950423, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.214495704821587, '7y_10y': 0, 'more_10y': 0}"
2010-08-24,"{'1d_1w': 0.0386139168417391, '1m_3m': 0.214508847036965, '1w_1m': 0.115279418149639, '1y_2y': 0.261455858250779, '24h': 0.00805788338943246, '2y_3y': 0, '3m_6m': 0.145658982031778, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.216425094299556, '7y_10y': 0, 'more_10y': 0}"
2010-08-25,"{'1d_1w': 0.036574753132841, '1m_3m': 0.215112669832801, '1w_1m': 0.117550947800881, '1y_2y': 0.261106844461202, '24h': 0.00681533317590653, '2y_3y': 0, '3m_6m': 0.144497663521748, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.218341788074509, '7y_10y': 0, 'more_10y': 0}"
2010-08-26,"{'1d_1w': 0.0351893970845471, '1m_3m': 0.216085250498448, '1w_1m': 0.117726752944148, '1y_2y': 0.261333653212786, '24h': 0.00733026256804458, '2y_3y': 0, '3m_6m': 0.144501508654841, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.217833175037074, '7y_10y': 0, 'more_10y': 0}"
2010-08-27,"{'1d_1w': 0.0320880105986706, '1m_3m': 0.216771328767308, '1w_1m': 0.118016276049323, '1y_2y': 0.260819578086531, '24h': 0.0103745385049386, '2y_3y': 0, '3m_6m': 0.142710341888071, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.219219926105046, '7y_10y': 0, 'more_10y': 0}"
2010-08-28,"{'1d_1w': 0.030053153965715, '1m_3m': 0.216667154508125, '1w_1m': 0.124277596334081, '1y_2y': 0.260838344515094, '24h': 0.00667470261349394, '2y_3y': 0, '3m_6m': 0.141937386704014, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.219551661359366, '7y_10y': 0, 'more_10y': 0}"
2010-08-29,"{'1d_1w': 0.0325178243291519, '1m_3m': 0.218342389896587, '1w_1m': 0.122267481221297, '1y_2y': 0.261005360613862, '24h': 0.00504954737887847, '2y_3y': 0, '3m_6m': 0.140823818349775, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.219993578210338, '7y_10y': 0, 'more_10y': 0}"
2010-08-30,"{'1d_1w': 0.0307455352879183, '1m_3m': 0.219409153053046, '1w_1m': 0.122332178041265, '1y_2y': 0.261264499304714, '24h': 0.00617339214429493, '2y_3y': 0, '3m_6m': 0.138969294406766, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.221105947761886, '7y_10y': 0, 'more_10y': 0}"
2010-08-31,"{'1d_1w': 0.0285066711625956, '1m_3m': 0.217731489102259, '1w_1m': 0.121228535947491, '1y_2y': 0.261263564944147, '24h': 0.0127894672767957, '2y_3y': 0, '3m_6m': 0.137728904116036, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.220751367450566, '7y_10y': 0, 'more_10y': 0}"
2010-09-01,"{'1d_1w': 0.0350649016099579, '1m_3m': 0.233828415855035, '1w_1m': 0.102593422183045, '1y_2y': 0.261552933266693, '24h': 0.00892734645241996, '2y_3y': 0, '3m_6m': 0.13716885185344, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.220864128779301, '7y_10y': 0, 'more_10y': 0}"
2010-09-02,"{'1d_1w': 0.0352444618016066, '1m_3m': 0.232936538945323, '1w_1m': 0.102088811949045, '1y_2y': 0.261645992285931, '24h': 0.00833040984911645, '2y_3y': 0, '3m_6m': 0.133202637699169, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.2265511474697, '7y_10y': 0, 'more_10y': 0}"
2010-09-03,"{'1d_1w': 0.033920181721564, '1m_3m': 0.234580676982717, '1w_1m': 0.103461542407312, '1y_2y': 0.261701379297459, '24h': 0.00761018964675777, '2y_3y': 0, '3m_6m': 0.130842113980423, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.22788391596366, '7y_10y': 0, 'more_10y': 0}"
2010-09-04,"{'1d_1w': 0.034178525050365, '1m_3m': 0.236778556198141, '1w_1m': 0.101884922595178, '1y_2y': 0.261627736993661, '24h': 0.00744180666364061, '2y_3y': 0, '3m_6m': 0.130329126263372, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.227759326235535, '7y_10y': 0, 'more_10y': 0}"
2010-09-05,"{'1d_1w': 0.0362897101428235, '1m_3m': 0.218715643686694, '1w_1m': 0.0999641615178408, '1y_2y': 0.261513177399546, '24h': 0.0239310815626994, '2y_3y': 0, '3m_6m': 0.132356620891147, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.227229604799142, '7y_10y': 0, 'more_10y': 0}"
2010-09-06,"{'1d_1w': 0.0395504324952505, '1m_3m': 0.218186962842639, '1w_1m': 0.0976966794031756, '1y_2y': 0.261738940753685, '24h': 0.0232808657534077, '2y_3y': 0, '3m_6m': 0.132006849129823, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.227539269621913, '7y_10y': 0, 'more_10y': 0}"
2010-09-07,"{'1d_1w': 0.0523122388763941, '1m_3m': 0.214915442288796, '1w_1m': 0.101825437661855, '1y_2y': 0.261861841809103, '24h': 0.00686081789586446, '2y_3y': 0, '3m_6m': 0.134759344605958, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.227464876861922, '7y_10y': 0, 'more_10y': 0}"
2010-09-08,"{'1d_1w': 0.0493151251945053, '1m_3m': 0.22014702641509, '1w_1m': 0.0977427132968256, '1y_2y': 0.261897140892112, '24h': 0.0069420018781243, '2y_3y': 0, '3m_6m': 0.13675690193811, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.227199090385126, '7y_10y': 0, 'more_10y': 0}"
2010-09-09,"{'1d_1w': 0.0489438545753185, '1m_3m': 0.218856330366647, '1w_1m': 0.0972847550267609, '1y_2y': 0.261815032412776, '24h': 0.00982449481534467, '2y_3y': 0, '3m_6m': 0.136200170882913, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.227075361920135, '7y_10y': 0, 'more_10y': 0}"
2010-09-10,"{'1d_1w': 0.0516006974309739, '1m_3m': 0.224290615381702, '1w_1m': 0.0938632980827822, '1y_2y': 0.261862464339106, '24h': 0.00563935750468488, '2y_3y': 0, '3m_6m': 0.136082282100941, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.226661285159704, '7y_10y': 0, 'more_10y': 0}"
2010-09-11,"{'1d_1w': 0.051007946412703, '1m_3m': 0.225670578577017, '1w_1m': 0.094735595004169, '1y_2y': 0.261932648722283, '24h': 0.004431413693813, '2y_3y': 0, '3m_6m': 0.135696456588165, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.226525361001744, '7y_10y': 0, 'more_10y': 0}"
2010-09-12,"{'1d_1w': 0.046047764541782, '1m_3m': 0.228415994852933, '1w_1m': 0.0938058924059983, '1y_2y': 0.261870514116763, '24h': 0.00784748798675268, '2y_3y': 0, '3m_6m': 0.135799121843163, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.226213224252502, '7y_10y': 0, 'more_10y': 0}"
2010-09-13,"{'1d_1w': 0.0293065058921576, '1m_3m': 0.228482341270473, '1w_1m': 0.0954009112729198, '1y_2y': 0.261888658952194, '24h': 0.0224806089323192, '2y_3y': 0, '3m_6m': 0.136508590844418, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.225932382835414, '7y_10y': 0, 'more_10y': 0}"
2010-09-14,"{'1d_1w': 0.0440849351821355, '1m_3m': 0.224645067484343, '1w_1m': 0.0950695772355259, '1y_2y': 0.261854912177371, '24h': 0.00862002430265236, '2y_3y': 0, '3m_6m': 0.140155363763589, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.225570119854278, '7y_10y': 0, 'more_10y': 0}"
2010-09-15,"{'1d_1w': 0.0455526064053224, '1m_3m': 0.225700336439294, '1w_1m': 0.092146592519792, '1y_2y': 0.261581054641543, '24h': 0.010270768889287, '2y_3y': 0, '3m_6m': 0.138453336816988, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.226295304287668, '7y_10y': 0, 'more_10y': 0}"
2010-09-16,"{'1d_1w': 0.0458886884929284, '1m_3m': 0.225236497870805, '1w_1m': 0.0939944455860573, '1y_2y': 0.261278187391125, '24h': 0.010299645118097, '2y_3y': 0, '3m_6m': 0.137141064403359, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.226161471137523, '7y_10y': 0, 'more_10y': 0}"
2010-09-17,"{'1d_1w': 0.0490071809510151, '1m_3m': 0.220118005813129, '1w_1m': 0.0938277975951825, '1y_2y': 0.258920401718205, '24h': 0.0150976039102084, '2y_3y': 0, '3m_6m': 0.141035928784876, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.22199308122728, '7y_10y': 0, 'more_10y': 0}"
2010-09-18,"{'1d_1w': 0.058568432502193, '1m_3m': 0.218649804698039, '1w_1m': 0.0911796830468982, '1y_2y': 0.258894859940175, '24h': 0.0102621738198764, '2y_3y': 0, '3m_6m': 0.140325583401283, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.222119462591432, '7y_10y': 0, 'more_10y': 0}"
2010-09-19,"{'1d_1w': 0.0578338046902689, '1m_3m': 0.22148602842236, '1w_1m': 0.0881665653792187, '1y_2y': 0.25879963103478, '24h': 0.0121493039901214, '2y_3y': 0, '3m_6m': 0.1393770309778, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.222187635505345, '7y_10y': 0, 'more_10y': 0}"
2010-09-20,"{'1d_1w': 0.0459189557211014, '1m_3m': 0.225775096388434, '1w_1m': 0.097736455067211, '1y_2y': 0.258833286563103, '24h': 0.0112182676950716, '2y_3y': 0, '3m_6m': 0.138582721216809, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.221935217348166, '7y_10y': 0, 'more_10y': 0}"
2010-09-21,"{'1d_1w': 0.0491139059228455, '1m_3m': 0.224939613462972, '1w_1m': 0.0999685828844502, '1y_2y': 0.258861002964406, '24h': 0.00693035473470781, '2y_3y': 0, '3m_6m': 0.138126898137831, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.222059641892683, '7y_10y': 0, 'more_10y': 0}"
2010-09-22,"{'1d_1w': 0.0437233180546871, '1m_3m': 0.224005285314987, '1w_1m': 0.100812780977395, '1y_2y': 0.258764620049241, '24h': 0.0119679081612949, '2y_3y': 0, '3m_6m': 0.138067191327256, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.222658896115036, '7y_10y': 0, 'more_10y': 0}"
2010-09-23,"{'1d_1w': 0.0413219342522361, '1m_3m': 0.223498342833211, '1w_1m': 0.0908554021685844, '1y_2y': 0.258176723447079, '24h': 0.0255708967630908, '2y_3y': 0, '3m_6m': 0.137871162064005, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.222705538471691, '7y_10y': 0, 'more_10y': 0}"
2010-09-24,"{'1d_1w': 0.0528536758808614, '1m_3m': 0.219845571603186, '1w_1m': 0.0987659356242273, '1y_2y': 0.258154530763536, '24h': 0.00672026135034977, '2y_3y': 0, '3m_6m': 0.141340202810652, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.222319821967085, '7y_10y': 0, 'more_10y': 0}"
2010-09-25,"{'1d_1w': 0.048735386467959, '1m_3m': 0.219321947346289, '1w_1m': 0.10135725442744, '1y_2y': 0.258373421087742, '24h': 0.009510873444263, '2y_3y': 0, '3m_6m': 0.139974714823654, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.22272640240255, '7y_10y': 0, 'more_10y': 0}"
2010-09-26,"{'1d_1w': 0.049348362869173, '1m_3m': 0.223420600625385, '1w_1m': 0.0990697801103632, '1y_2y': 0.258419451900607, '24h': 0.00792720076588006, '2y_3y': 0, '3m_6m': 0.13925601017475, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.222558593553739, '7y_10y': 0, 'more_10y': 0}"
2010-09-27,"{'1d_1w': 0.0501581246322896, '1m_3m': 0.223857316672352, '1w_1m': 0.0995276219296801, '1y_2y': 0.258080978700758, '24h': 0.0112532714797647, '2y_3y': 0, '3m_6m': 0.137725294493498, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.219397392091556, '7y_10y': 0, 'more_10y': 0}"
2010-09-28,"{'1d_1w': 0.0517087233173719, '1m_3m': 0.222105025504063, '1w_1m': 0.100952398743968, '1y_2y': 0.251325064890216, '24h': 0.023404347841968, '2y_3y': 0, '3m_6m': 0.13664601157356, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.21385842812875, '7y_10y': 0, 'more_10y': 0}"
