t,transactions_transfers_volume_from_exchanges_sum
2013-05-25,2211.43566827428
2013-05-26,1502.88414360467
2013-05-27,3978.89003095787
2013-05-28,5243.56215994951
2013-05-29,3738.71645758514
2013-05-30,6416.44059358349
2013-05-31,8839.68016770385
2013-06-01,3036.95479345412
2013-06-02,10889.7396653797
2013-06-03,7832.51209375012
2013-06-04,7572.15332068144
2013-06-05,3149.65498541631
2013-06-06,4792.10557456234
2013-06-07,10849.8930737308
2013-06-08,4971.89955933862
2013-06-09,11517.5372829981
2013-06-10,8768.36280535714
2013-06-11,4663.7984702061
2013-06-12,4288.97608426455
2013-06-13,12074.9613327648
2013-06-14,4574.17721145523
2013-06-15,2428.83920603973
2013-06-16,2730.73835026715
2013-06-17,3630.99566134267
2013-06-18,3729.89924448917
2013-06-19,2979.73522337424
2013-06-20,6045.22491359612
2013-06-21,34903.3656487679
2013-06-22,6719.86036625307
2013-06-23,2001.27510204564
2013-06-24,8983.08504385746
2013-06-25,10778.1733599745
2013-06-26,3034.34679960349
2013-06-27,6442.71567388284
2013-06-28,13930.6470289529
2013-06-29,2629.28569633531
2013-06-30,4622.80408423151
2013-07-01,17093.6507249371
2013-07-02,10192.8853494111
2013-07-03,12565.4249348203
2013-07-04,13322.2372319233
2013-07-05,14813.5834919933
2013-07-06,9744.82574179486
2013-07-07,2846.97892097039
2013-07-08,7716.86334744266
2013-07-09,12154.6841973978
2013-07-10,14036.0602817825
2013-07-11,9672.25187300802
2013-07-12,11689.8562674809
2013-07-13,4292.34098307527
2013-07-14,7538.68862409615
2013-07-15,8938.61188213536
2013-07-16,7765.47471736007
2013-07-17,8442.30210367891
2013-07-18,38059.7726651991
2013-07-19,11662.5011701316
2013-07-20,4987.10690950556
2013-07-21,4572.51791690696
2013-07-22,10318.3410437066
2013-07-23,5347.79534546814
2013-07-24,8937.16427506012
2013-07-25,6498.32334202516
2013-07-26,5760.87165723066
2013-07-27,5315.78926582289
2013-07-28,8299.61994343034
2013-07-29,13757.8722763144
2013-07-30,7970.00698848935
2013-07-31,10770.3342100163
2013-08-01,5915.48079121952
2013-08-02,10737.1249757915
2013-08-03,4539.16742989244
2013-08-04,1738.71652558411
2013-08-05,13354.7671377117
2013-08-06,7114.21141557813
2013-08-07,9221.79422591625
2013-08-08,13195.794576702
2013-08-09,8065.15545760906
2013-08-10,4351.00247940144
2013-08-11,3666.97120177447
2013-08-12,4200.44146621306
2013-08-13,9354.00503358698
2013-08-14,7450.48314459206
2013-08-15,10317.1065830029
2013-08-16,8742.87681449345
2013-08-17,34231.9061350634
2013-08-18,4896.76834751481
2013-08-19,11692.4600142319
2013-08-20,12748.7220257685
2013-08-21,19085.4656567764
2013-08-22,17708.1781624203
2013-08-23,16752.9063465717
2013-08-24,2677.63265094229
2013-08-25,7082.35308350809
2013-08-26,11731.6204219584
2013-08-27,12692.1679963087
2013-08-28,9470.85198546819
2013-08-29,10061.9788706868
2013-08-30,8598.78474407174
2013-08-31,7660.75151326098
2013-09-01,2760.35637736785
2013-09-02,6374.23696148653
2013-09-03,13346.421171281
2013-09-04,15228.6408325727
2013-09-05,10333.9712359825
2013-09-06,7961.86829263858
2013-09-07,7761.7652772091
2013-09-08,3432.54363271262
2013-09-09,7513.1407163267
2013-09-10,11664.2807368047
2013-09-11,8836.15299704082
2013-09-12,9564.78471006255
2013-09-13,10219.2052325445
2013-09-14,7534.35016417949
2013-09-15,3294.78116497441
2013-09-16,8029.8371557324
2013-09-17,9259.7681691127
2013-09-18,7941.98294463177
2013-09-19,7000.36504518305
2013-09-20,10860.2706802177
2013-09-21,4103.89787882572
2013-09-22,2790.70946891588
2013-09-23,8910.94876562233
2013-09-24,6312.38076673226
2013-09-25,9895.05880521939
2013-09-26,6862.78016457795
2013-09-27,12660.4635400253
2013-09-28,11260.3700612175
2013-09-29,5365.3861961614
2013-09-30,9545.09928814291
2013-10-01,27521.3895941432
2013-10-02,43744.3949215314
2013-10-03,17630.541206453
2013-10-04,11657.7020611531
2013-10-05,5257.9219679021
2013-10-06,7107.47643574651
2013-10-07,6711.32948093994
2013-10-08,10646.2642584023
2013-10-09,15403.1849457473
2013-10-10,13895.6558180962
2013-10-11,7080.77326337308
2013-10-12,9840.02325909267
2013-10-13,7491.13736587878
2013-10-14,23690.9878509915
2013-10-15,11954.1132086147
2013-10-16,16660.2659783266
2013-10-17,11614.8798624563
2013-10-18,13485.8691532076
2013-10-19,13383.6158455165
2013-10-20,9476.97028757254
2013-10-21,22081.5491962865
2013-10-22,22888.9278986401
2013-10-23,19651.1868169093
2013-10-24,29700.6768913792
2013-10-25,9782.25527430653
2013-10-26,7591.06596034952
2013-10-27,7356.63618410212
2013-10-28,8597.72375726581
2013-10-29,13910.1465258831
2013-10-30,11516.8782811577
2013-10-31,14585.1800093806
2013-11-01,4066.82416616542
2013-11-02,3759.02979942757
2013-11-03,5105.09406868083
2013-11-04,29377.4815987901
2013-11-05,31086.2025008903
2013-11-06,19613.4885513529
2013-11-07,30511.22912207
2013-11-08,25916.4086728433
2013-11-09,23686.1788447189
2013-11-10,12685.6057227976
2013-11-11,16012.3305699764
2013-11-12,27306.7274502955
2013-11-13,37213.3624549586
2013-11-14,20063.2839105227
2013-11-15,17040.9577083925
2013-11-16,11292.5480469829
