t,mining_hash_rate_mean
2014-03-16,34826427589872800
2014-03-17,32433367856016200
2014-03-18,30288018014183600
2014-03-19,32829335761282800
2014-03-20,36704436187031200
2014-03-21,37627396336368900
2014-03-22,35329101928997100
2014-03-23,43357562801768500
2014-03-24,38174581888275900
2014-03-25,38636525300620900
2014-03-26,38845536188555900
2014-03-27,41215606949962300
2014-03-28,41452469729585000
2014-03-29,42996320309591400
2014-03-30,34218389535104800
2014-03-31,42781861108661100
2014-04-01,41880524869900900
2014-04-02,47425694532329800
2014-04-03,48725760920547900
2014-04-04,46949997030984200
2014-04-05,44882878298186000
2014-04-06,44837573973426500
2014-04-07,44252157874027600
2014-04-08,40097214615314200
2014-04-09,47992920470191000
2014-04-10,44707587615597300
2014-04-11,50231821291924600
2014-04-12,47809650324686200
2014-04-13,53811171209590400
2014-04-14,56131992063599600
2014-04-15,52951508852210800
2014-04-16,45866868492696700
2014-04-17,51871486608052200
2014-04-18,53572655842590300
2014-04-19,51816237388935800
2014-04-20,60072672048859000
2014-04-21,57317242143182000
2014-04-22,51272723434543800
2014-04-23,54878979757527000
2014-04-24,49327118036240900
2014-04-25,58384883468846400
2014-04-26,54744090600921800
2014-04-27,57944936784756100
2014-04-28,51323438324196500
2014-04-29,57125241016738900
2014-04-30,53383044715260900
2014-05-01,67659032014779500
2014-05-02,60778900219904100
2014-05-03,55938998191141400
2014-05-04,57912321662994000
2014-05-05,49834507279307300
2014-05-06,71576756294009100
2014-05-07,60593022024467500
2014-05-08,63590247163809300
2014-05-09,64630890590332200
2014-05-10,69006076704205900
2014-05-11,61036383949308900
2014-05-12,63677738374742100
2014-05-13,68858390653962200
2014-05-14,64943240983257300
2014-05-15,73470631504979000
2014-05-16,78002483872719700
2014-05-17,71819163461994100
2014-05-18,73264511739209500
2014-05-19,67102471916649200
2014-05-20,75157716055511600
2014-05-21,74402361004002400
2014-05-22,72612971577524800
2014-05-23,70711346103530900
2014-05-24,72531769489800100
2014-05-25,81259953966307900
2014-05-26,79912851016415600
2014-05-27,69875733589525000
2014-05-28,86662315469444300
2014-05-29,72152462176007100
2014-05-30,84815428467262300
2014-05-31,75805855165078700
2014-06-01,89061761906993200
2014-06-02,95947641206537600
2014-06-03,91090238932730900
2014-06-04,91178097337140100
2014-06-05,79029458850187500
2014-06-06,78838393655327400
2014-06-07,89160193316417300
2014-06-08,77361040189805900
2014-06-09,88456652841159600
2014-06-10,95316939474955600
2014-06-11,82390362720858500
2014-06-12,97095172965907800
2014-06-13,94338047767586200
2014-06-14,98992588358652400
2014-06-15,108454229475440000
2014-06-16,106273418722684000
2014-06-17,101781241889689000
2014-06-18,102849372756483000
2014-06-19,108819013692845000
2014-06-20,121373330970555000
2014-06-21,121961051960377000
2014-06-22,117045933312715000
2014-06-23,112336417605180000
2014-06-24,122469717965224000
2014-06-25,123903820792538000
2014-06-26,112389307920374000
2014-06-27,127688147233412000
2014-06-28,116970490498997000
2014-06-29,122700163110307000
2014-06-30,104889564772887000
2014-07-01,110311172406621000
2014-07-02,112205172437500000
2014-07-03,114924732182477000
2014-07-04,135433001633844000
2014-07-05,125081803563942000
2014-07-06,116160643480528000
2014-07-07,123009981764298000
2014-07-08,122704905085064000
2014-07-09,133644295204766000
2014-07-10,120134572581713000
2014-07-11,126034511996281000
2014-07-12,127247304743894000
2014-07-13,134684992345455000
2014-07-14,116105542546784000
2014-07-15,133108850694488000
2014-07-16,123045750830655000
2014-07-17,144680049327198000
