t,o
2010-02-19,"{'0001_001': 0, '001_01': 6.290677699547554e-08, '01_1': 1.1758728315308123e-06, '100_1k': 0.004475023590041373, '10_100': 0.8756748203527619, '10k_100k': 0.0996506447944642, '1_10': 1.5213762067213473e-05, '1k_10k': 0.020183058721056833, 'above_100k': 0, 'less_0001': 0}"
2010-02-20,"{'0001_001': 0, '001_01': 6.259178121765088e-08, '01_1': 1.1699848335299357e-06, '100_1k': 0.0044526156142420375, '10_100': 0.8760084739642264, '10k_100k': 0.09944054502997184, '1_10': 1.5137581549868799e-05, '1k_10k': 0.020081995233395124, 'above_100k': 0, 'less_0001': 0}"
2010-02-21,"{'0001_001': 0, '001_01': 6.22575547148125e-08, '01_1': 1.1637373688999568e-06, '100_1k': 0.004741358172501316, '10_100': 0.8736761793017577, '10k_100k': 0.10470429577127532, '1_10': 1.5056750155643887e-05, '1k_10k': 0.016861884009386523, 'above_100k': 0, 'less_0001': 0}"
2010-02-22,"{'0001_001': 0, '001_01': 6.187235257722145e-08, '01_1': 1.15653705202037e-06, '100_1k': 0.004712022274046927, '10_100': 0.8681510780067584, '10k_100k': 0.10938700680595877, '1_10': 1.5439531673885106e-05, '1k_10k': 0.01773323497215744, 'above_100k': 0, 'less_0001': 0}"
2010-02-23,"{'0001_001': 0, '001_01': 6.150643451930356e-08, '01_1': 1.1496971990915974e-06, '100_1k': 0.004684154996214989, '10_100': 0.8689308431112795, '10k_100k': 0.10874008327024982, '1_10': 1.5348221044663137e-05, '1k_10k': 0.017628359197577593, 'above_100k': 0, 'less_0001': 0}"
2010-02-24,"{'0001_001': 0, '001_01': 4.7122022477204714e-08, '01_1': 1.1450651461960746e-06, '100_1k': 0.005112956200080107, '10_100': 0.8669614447612092, '10k_100k': 0.10865539193742195, '1_10': 1.528638409160521e-05, '1k_10k': 0.01925372853002851, 'above_100k': 0, 'less_0001': 0}"
2010-02-25,"{'0001_001': 0, '001_01': 4.6951663262671075e-08, '01_1': 1.140925417282907e-06, '100_1k': 0.005423133084489518, '10_100': 0.8641088480409418, '10k_100k': 0.1112674789304411, '1_10': 1.5231119562410498e-05, '1k_10k': 0.019184120947484562, 'above_100k': 0, 'less_0001': 0}"
2010-02-26,"{'0001_001': 0, '001_01': 4.676284224555168e-08, '01_1': 1.1363370665669058e-06, '100_1k': 0.005401323388435549, '10_100': 0.8642344829198718, '10k_100k': 0.10980920292735392, '1_10': 1.5169866024456966e-05, '1k_10k': 0.020538637798405385, 'above_100k': 0, 'less_0001': 0}"
2010-02-27,"{'0001_001': 0, '001_01': 4.6575533872057013e-08, '01_1': 1.1317854730909854e-06, '100_1k': 0.005379688409678397, '10_100': 0.8645687012412382, '10k_100k': 0.10948580144849912, '1_10': 1.5109103188095296e-05, '1k_10k': 0.020549521436389467, 'above_100k': 0, 'less_0001': 0}"
2010-02-28,"{'0001_001': 0, '001_01': 4.6406942478594806e-08, '01_1': 1.1276887022298537e-06, '100_1k': 0.0052906049144952096, '10_100': 0.8626225630554333, '10k_100k': 0.10908949114787574, '1_10': 1.5054412140056155e-05, '1k_10k': 0.022981112374411215, 'above_100k': 0, 'less_0001': 0}"
2010-03-01,"{'0001_001': 0, '001_01': 4.619791185438418e-08, '01_1': 1.1226092580615354e-06, '100_1k': 0.005312972373648711, '10_100': 0.8625021851612307, '10k_100k': 0.10915249468724013, '1_10': 1.4986602605562228e-05, '1k_10k': 0.02301619236810496, 'above_100k': 0, 'less_0001': 0}"
2010-03-02,"{'0001_001': 0, '001_01': 4.599816007359705e-08, '01_1': 1.1177552897884083e-06, '100_1k': 0.0052899999999999996, '10_100': 0.8621997378104875, '10k_100k': 0.10937051057957681, '1_10': 1.4921803127874883e-05, '1k_10k': 0.023123666053357864, 'above_100k': 0, 'less_0001': 0}"
2010-03-03,"{'0001_001': 0, '001_01': 4.583791712504583e-08, '01_1': 1.1138613861386137e-06, '100_1k': 0.005225733406674001, '10_100': 0.8603191373303997, '10k_100k': 0.11132723230656398, '1_10': 1.4869820315364868e-05, '1k_10k': 0.023111867436743674, 'above_100k': 0, 'less_0001': 0}"
2010-03-04,"{'0001_001': 0, '001_01': 4.564438459958463e-08, '01_1': 1.1091585457699066e-06, '100_1k': 0.005363425154620353, '10_100': 0.8520538740671428, '10k_100k': 0.11955245224456261, '1_10': 1.4807038364105255e-05, '1k_10k': 0.02301428669237967, 'above_100k': 0, 'less_0001': 0}"
2010-03-05,"{'0001_001': 0, '001_01': 4.546694553059925e-08, '01_1': 1.1048467763935618e-06, '100_1k': 0.005342575247794853, '10_100': 0.8526062698917887, '10k_100k': 0.11908770119123396, '1_10': 1.4749477130126397e-05, '1k_10k': 0.022947553878330453, 'above_100k': 0, 'less_0001': 0}"
2010-03-06,"{'0001_001': 0, '001_01': 4.528472772557456e-08, '01_1': 1.0868334654137894e-06, '100_1k': 0.005162667270463037, '10_100': 0.8512060545680971, '10k_100k': 0.12064665685497568, '1_10': 1.4690365674176386e-05, '1k_10k': 0.022968798822597083, 'above_100k': 0, 'less_0001': 0}"
2010-03-07,"{'0001_001': 0, '001_01': 4.5101930362619516e-08, '01_1': 1.0824463287028685e-06, '100_1k': 0.005141827530218293, '10_100': 0.8492562466173552, '10k_100k': 0.12271008479162908, '1_10': 1.4631066209633771e-05, '1k_10k': 0.022876082446328702, 'above_100k': 0, 'less_0001': 0}"
