t,addresses_count
2011-03-19,313907
2011-03-20,317479
2011-03-21,321165
2011-03-22,323972
2011-03-23,329529
2011-03-24,332549
2011-03-25,335243
2011-03-26,338655
2011-03-27,341633
2011-03-28,344893
2011-03-29,348067
2011-03-30,350414
2011-03-31,353092
2011-04-01,355005
2011-04-02,357074
2011-04-03,359334
2011-04-04,362322
2011-04-05,365054
2011-04-06,367482
2011-04-07,369523
2011-04-08,371732
2011-04-09,373926
2011-04-10,376041
2011-04-11,378418
2011-04-12,380934
2011-04-13,383681
2011-04-14,388089
2011-04-15,390392
2011-04-16,392850
2011-04-17,395391
2011-04-18,398854
2011-04-19,403027
2011-04-20,406390
2011-04-21,408837
2011-04-22,411345
2011-04-23,414161
2011-04-24,416840
2011-04-25,419979
2011-04-26,424033
2011-04-27,429277
2011-04-28,433212
2011-04-29,437567
2011-04-30,443111
2011-05-01,447877
2011-05-02,451538
2011-05-03,455218
2011-05-04,458989
2011-05-05,463440
2011-05-06,467838
2011-05-07,472469
2011-05-08,476383
2011-05-09,480885
2011-05-10,484902
2011-05-11,488998
2011-05-12,493074
2011-05-13,498826
2011-05-14,504559
2011-05-15,509845
2011-05-16,517961
2011-05-17,524798
2011-05-18,533200
2011-05-19,541182
2011-05-20,548406
2011-05-21,555216
2011-05-22,562021
2011-05-23,569445
2011-05-24,577909
2011-05-25,587340
2011-05-26,596055
2011-05-27,602146
2011-05-28,609014
2011-05-29,615175
2011-05-30,622923
2011-05-31,631479
2011-06-01,639644
2011-06-02,648673
2011-06-03,659382
2011-06-04,671655
2011-06-05,682465
2011-06-06,695017
2011-06-07,706436
2011-06-08,721986
2011-06-09,738479
2011-06-10,753374
2011-06-11,767584
2011-06-12,784002
2011-06-13,799121
2011-06-14,817266
2011-06-15,833907
2011-06-16,851384
2011-06-17,866805
2011-06-18,883182
2011-06-19,899554
2011-06-20,914514
2011-06-21,929252
2011-06-22,945087
2011-06-23,959095
2011-06-24,973789
2011-06-25,986777
2011-06-26,1000795
2011-06-27,1018467
2011-06-28,1033812
2011-06-29,1048285
2011-06-30,1061589
2011-07-01,1081932
2011-07-02,1105450
2011-07-03,1118864
2011-07-04,1132808
2011-07-05,1145324
2011-07-06,1161230
2011-07-07,1175502
2011-07-08,1190454
2011-07-09,1204574
2011-07-10,1224512
2011-07-11,1240342
2011-07-12,1254141
2011-07-13,1271306
2011-07-14,1290004
2011-07-15,1305399
2011-07-16,1320024
2011-07-17,1335554
2011-07-18,1350910
2011-07-19,1366783
2011-07-20,1382623
2011-07-21,1399109
2011-07-22,1415102
2011-07-23,1429145
2011-07-24,1443941
2011-07-25,1460963
2011-07-26,1475432
2011-07-27,1490107
2011-07-28,1506412
2011-07-29,1520482
2011-07-30,1533079
2011-07-31,1548805
2011-08-01,1564140
2011-08-02,1576759
2011-08-03,1586397
2011-08-04,1596627
2011-08-05,1610419
2011-08-06,1623123
2011-08-07,1635942
2011-08-08,1649097
2011-08-09,1663810
2011-08-10,1674306
2011-08-11,1684221
2011-08-12,1693438
2011-08-13,1705284
2011-08-14,1718486
2011-08-15,1729238
2011-08-16,1740970
2011-08-17,1752944
2011-08-18,1764861
