t,ma128,ma14,ma200,ma25,ma40,ma60,ma9,ma90
2011-10-07,6548645464782310.0,7316462802958589.0,4418053742981262.0,7414596679864936.0,7500427716811744.0,7621112266224990.0,7255636019752178.0,7522153204583881.0
2011-10-08,6590738068934106.0,7296187208556451.0,4452695699038552.5,7403242346999739.0,7487932966360256.0,7606834914410677.0,7255636019752178.0,7528180781180554.0
2011-10-09,6632830673085902.0,7275911614154314.0,4487337655095842.5,7391888014134542.0,7478436785357571.0,7592557562596365.0,7255636019752178.0,7534208357777227.0
2011-10-10,6674923277237698.0,7255636019752177.0,4521979611153133.0,7380533681269345.0,7468940604354885.0,7578280210782052.0,7255636019752178.0,7540235934373901.0
2011-10-11,6717015881389495.0,7255636019752177.0,4556776504606208.0,7369179348404148.0,7459444423352200.0,7564002858967742.0,7255636019752178.0,7546263510970576.0
2011-10-12,6754666130918302.0,7255636019752177.0,4591573398059283.0,7357825015538952.0,7449948242349514.0,7549725507153429.0,7255636019752178.0,7552291087567249.0
2011-10-13,6792316380447109.0,7255636019752177.0,4626370291512357.0,7346470682673755.0,7440452061346829.0,7535448155339117.0,7255636019752178.0,7558318664163922.0
2011-10-14,6822546437196995.0,7187794257202038.0,4656418261586922.0,7297124962780480.0,7407211263451594.0,7511288577109760.0,7150104389118628.0,7553793077697242.0
2011-10-15,6852776493946880.0,7119952494651898.0,4686466231661487.0,7247779242887204.0,7373970465556358.0,7487128998880401.0,7044572758485077.0,7549267491230559.0
2011-10-16,6883006550696766.0,7052110732101758.0,4716514201736052.0,7198433522993929.0,7340729667661123.0,7462969420651044.0,6939041127851525.0,7544741904763878.0
2011-10-17,6913236607446652.0,6984268969551618.0,4746562171810617.0,7149087803100654.0,7307488869765890.0,7438809842421687.0,6833509497217975.0,7534114228863841.0
2011-10-18,6943466664196537.0,6916427207001478.0,4776610141885181.0,7099742083207378.0,7274248071870654.0,7414650264192329.0,6727977866584423.0,7523486552963802.0
2011-10-19,6973696720946423.0,6848585444451338.0,4806658111959747.0,7050396363314103.0,7241007273975419.0,7390490685962972.0,6622446235950873.0,7512858877063764.0
2011-10-20,7003926777696309.0,6780743681901198.0,4836706082034312.0,7001050643420828.0,7207766476080186.0,7366331107733615.0,6516914605317321.0,7502231201163726.0
2011-10-21,7023765531402007.0,6712901919351058.0,4866754052108876.0,6951704923527553.0,7174525678184950.0,7342171529504256.0,6411382974683771.0,7491603525263687.0
2011-10-22,7043604285107706.0,6645060156800919.0,4896514949586961.0,6913713536499474.0,7141284880289715.0,7318011951274899.0,6305851344050220.0,7480975849363649.0
2011-10-23,7063443038813404.0,6577218394250779.0,4926275847065046.0,6875722149471396.0,7110443805356418.0,7293852373045540.0,6305851344050220.0,7470348173463610.0
2011-10-24,7083281792519102.0,6509376631700640.0,4956036744543130.0,6837730762443318.0,7079602730423122.0,7269692794816181.0,6305851344050220.0,7459720497563571.0
2011-10-25,7103120546224801.0,6441534869150501.0,4985797642021215.0,6799739375415240.0,7048761655489825.0,7245533216586825.0,6305851344050220.0,7449092821663534.0
2011-10-26,7122959299930499.0,6373693106600361.0,5015558539499300.0,6761747988387162.0,7017920580556528.0,7221373638357466.0,6305851344050220.0,7438465145763494.0
2011-10-27,7142798053636197.0,6305851344050222.0,5045319436977384.0,6723756601359084.0,6987079505623231.0,7197214060128107.0,6305851344050220.0,7427837469863455.0
2011-10-28,7162636807341896.0,6305851344050222.0,5075080334455469.0,6685765214331005.0,6956238430689934.0,7173054481898750.0,6305851344050220.0,7417209793963418.0
2011-10-29,7182475561047594.0,6305851344050222.0,5104841231933554.0,6647773827302927.0,6925397355756638.0,7150893949968592.0,6305851344050220.0,7406582118063378.0
2011-10-30,7185462010822713.0,6305851344050222.0,5134602129411638.0,6609782440274849.0,6894556280823341.0,7128733418038435.0,6305851344050220.0,7386510720457148.0
2011-10-31,7179565478345746.0,6224635506316857.0,5158677918248388.0,6526310184116087.0,6835289662683366.0,7087622523970493.0,6179515596464987.0,7353805748092395.0
2011-11-01,7173668945868778.0,6143419668583491.0,5182753707085137.0,6442837927957324.0,6776023044543391.0,7046511629902550.0,6053179848879751.0,7321100775727640.0
2011-11-02,7167772413391811.0,6062203830850127.0,5206829495921886.0,6359365671798561.0,6716756426403417.0,7005400735834608.0,5926844101294517.0,7288395803362887.0
2011-11-03,7161875880914843.0,5980987993116762.0,5230905284758635.0,6275893415639799.0,6657489808263442.0,6964289841766666.0,5800508353709284.0,7255690830998133.0
