t,volumes
2016-12-02,"{'AntPool': 3.09437197, 'F2Pool': 73.53520094, 'SlushPool': 15.21359033, 'ViaBTC': 10.08895985, 'other': 97.3462681866082}"
2016-12-03,"{'F2Pool': 97.51165512, 'SlushPool': 18.53403911, 'ViaBTC': 10.10901244, 'other': 26.580775677584203}"
2016-12-04,"{'F2Pool': 350.107905, 'SlushPool': 9.57704762, 'ViaBTC': 9.93748652, 'other': 28.056903502095196}"
2016-12-05,"{'F2Pool': 77.25123538, 'SlushPool': 24.79581476, 'ViaBTC': 10.01715603, 'other': 72.9027162234082}"
2016-12-06,"{'F2Pool': 75.17570339, 'SlushPool': 12.55488066, 'ViaBTC': 9.88798532, 'other': 25.9839821257215}"
2016-12-07,"{'F2Pool': 137.30424777, 'SlushPool': 20.10564924, 'ViaBTC': 9.9344601, 'other': 52.806738609090104}"
2016-12-08,"{'F2Pool': 79.10661354, 'SlushPool': 11.75529554, 'ViaBTC': 10.02586428, 'other': 22.79592244186}"
2016-12-09,"{'F2Pool': 105.62152491, 'SlushPool': 16.84661071, 'ViaBTC': 9.69818736, 'other': 28.7390817906435}"
2016-12-10,"{'F2Pool': 81.71351817, 'SlushPool': 20.23689703, 'ViaBTC': 9.88126415, 'other': 21.4145038292713}"
2016-12-11,"{'F2Pool': 84.33168514, 'SlushPool': 11.64295374, 'ViaBTC': 9.65734645, 'other': 14.233313233631769}"
2016-12-12,"{'F2Pool': 84.40383586, 'SlushPool': 11.53924653, 'ViaBTC': 9.40682343, 'other': 16.6292703217224}"
2016-12-13,"{'F2Pool': 86.04949115, 'SlushPool': 13.05303979, 'ViaBTC': 9.75990279, 'other': 8.91379626033119}"
2016-12-14,"{'F2Pool': 84.13449777, 'ViaBTC': 10.52985524, 'other': 14.5334042519176}"
2016-12-15,"{'F2Pool': 85.30999377, 'SlushPool': 0.89381542, 'ViaBTC': 10.17091247, 'other': 17.0722037121923}"
2016-12-16,"{'F2Pool': 77.99522024, 'SlushPool': 11.64402555, 'ViaBTC': 8.9805766, 'other': 15.3783980364254}"
2016-12-17,"{'F2Pool': 76.12021817, 'SlushPool': 9.76141353, 'ViaBTC': 13.0007417, 'other': 27.3234377160128}"
2016-12-18,"{'F2Pool': 80.35750362, 'SlushPool': 24.26290416, 'ViaBTC': 13.68014761, 'other': 16.386569549638}"
2016-12-19,"{'BitFury': 259.22761245, 'F2Pool': 78.69412482, 'SlushPool': 13.6345333, 'ViaBTC': 13.40710764, 'other': 15.7812353091046}"
2016-12-20,"{'F2Pool': 76.93584263, 'SlushPool': 15.69403376, 'ViaBTC': 13.69649316, 'other': 17.1817076482978}"
2016-12-21,"{'F2Pool': 111.61450113, 'SlushPool': 24.39645925, 'ViaBTC': 13.39300246, 'other': 39.9508290061203}"
2016-12-22,"{'F2Pool': 76.34258607, 'SlushPool': 13.87956268, 'ViaBTC': 13.40291329, 'other': 431.793964249789}"
2016-12-23,"{'F2Pool': 138.29900996, 'SlushPool': 17.90951864, 'ViaBTC': 13.64622299, 'other': 54.2911531644483}"
2016-12-24,"{'F2Pool': 177.72944196, 'SlushPool': 12.82892753, 'ViaBTC': 12.86232612, 'other': 327.058326035611}"
2016-12-25,"{'F2Pool': 80.37456021, 'SlushPool': 17.25279579, 'ViaBTC': 13.74609118, 'other': 29.727613164042502}"
2016-12-26,"{'F2Pool': 81.20954576, 'SlushPool': 14.60392446, 'ViaBTC': 13.38338178, 'other': 18.7565165905083}"
2016-12-27,"{'F2Pool': 91.84060152, 'SlushPool': 23.42588401, 'ViaBTC': 14.26223574, 'other': 22.9081241244191}"
2016-12-28,"{'F2Pool': 81.48147005, 'SlushPool': 26.89096913, 'ViaBTC': 13.81979076, 'other': 57.9372366111945}"
2016-12-29,"{'BitFury': 65.65759231, 'F2Pool': 77.63416797, 'SlushPool': 11.59285872, 'ViaBTC': 13.82028136, 'other': 194.928579352518}"
2016-12-30,"{'F2Pool': 76.12546139, 'SlushPool': 20.28355015, 'ViaBTC': 13.67168217, 'other': 46.7682678498807}"
2016-12-31,"{'F2Pool': 79.27645409, 'SlushPool': 21.07039282, 'ViaBTC': 13.92842009, 'other': 50.0368629672783}"
2017-01-01,"{'F2Pool': 80.39445829, 'SlushPool': 19.05789178, 'ViaBTC': 13.02937845, 'other': 30.7748363419347}"
2017-01-02,"{'F2Pool': 81.09746015, 'SlushPool': 16.82651824, 'ViaBTC': 13.21931528, 'other': 39.616359878187396}"
2017-01-03,"{'AntPool': 21.5590956, 'BitFury': 43.05216307, 'F2Pool': 81.1925794, 'SlushPool': 39.54881511, 'ViaBTC': 13.87899362, 'other': 77.3024607231072}"
2017-01-04,"{'F2Pool': 81.97114176, 'SlushPool': 11.27247715, 'ViaBTC': 14.52187207, 'other': 575.7475451344719}"
2017-01-05,"{'F2Pool': 87.92827103, 'SlushPool': 7.98277762, 'ViaBTC': 16.08416272, 'other': 64.2927371729427}"
2017-01-06,"{'F2Pool': 109.70693655, 'SlushPool': 15.64890564, 'ViaBTC': 49.96734699, 'other': 101.60219769288399}"
2017-01-07,"{'F2Pool': 82.1720629, 'SlushPool': 9.74531737, 'ViaBTC': 50.9437149, 'other': 233.426923096841}"
2017-01-08,"{'Bixin': 9, 'F2Pool': 81.69955413, 'SlushPool': 25.93404042, 'ViaBTC': 53.66532986, 'other': 56.238182121480506}"
2017-01-09,"{'BitFury': 65.33996918, 'F2Pool': 83.63360067, 'SlushPool': 9.39430573, 'ViaBTC': 47.64293621, 'other': 23.638494096803}"
2017-01-10,"{'F2Pool': 88.31861618, 'SlushPool': 20.69018631, 'ViaBTC': 12.47334952, 'other': 31.7894502691808}"
2017-01-11,"{'F2Pool': 84.80805135, 'SlushPool': 14.7979325, 'ViaBTC': 11.38161631, 'other': 90.87481878838909}"
2017-01-12,"{'Bixin': 117.40854545492, 'F2Pool': 80.94595125, 'SlushPool': 12.72065347, 'ViaBTC': 10.70763102, 'other': 18.140299875282}"
2017-01-13,"{'F2Pool': 81.2194342, 'SlushPool': 9.67615649, 'ViaBTC': 11.10432893, 'other': 73.63161944775119}"
2017-01-14,"{'F2Pool': 88.6205965, 'SlushPool': 13.44657499, 'ViaBTC': 10.18994963, 'other': 55.6817184666275}"
2017-01-15,"{'F2Pool': 82.49777929, 'SlushPool': 14.60062636, 'ViaBTC': 9.63120372, 'other': 55.7613034423843}"
2017-01-16,"{'F2Pool': 84.76385202, 'SlushPool': 19.43876637, 'ViaBTC': 9.65473829, 'other': 55.7869959357889}"
2017-01-17,"{'F2Pool': 83.23497361, 'SlushPool': 9.63461076, 'ViaBTC': 9.5218422, 'other': 51.8285019332361}"
2017-01-18,"{'F2Pool': 83.46285129, 'SlushPool': 4.91653714, 'ViaBTC': 9.56082197, 'other': 43.634683246372596}"
2017-01-19,"{'F2Pool': 85.57369048, 'SlushPool': 7.95444346, 'ViaBTC': 9.4234061, 'other': 44.9175062079262}"
2017-01-20,"{'F2Pool': 85.06542732, 'SlushPool': 22.47032846, 'ViaBTC': 8.47926572, 'other': 22.381905980202}"
2017-01-21,"{'Bixin': 39.2600138683363, 'F2Pool': 88.12855143, 'SlushPool': 13.45348103, 'ViaBTC': 8.50259624, 'other': 40.9608684484955}"
2017-01-22,"{'Bixin': 40.3599941608925, 'F2Pool': 89.33948058, 'SlushPool': 17.189949, 'ViaBTC': 11.07267254, 'other': 36.8032327693317}"
2017-01-23,"{'Bixin': 199.9995, 'F2Pool': 88.66314995, 'SlushPool': 17.4422687, 'ViaBTC': 11.40550977, 'other': 40.9151579942177}"
2017-01-24,"{'Bixin': 12.7490261553433, 'F2Pool': 77.66810314, 'SlushPool': 7.4032848, 'ViaBTC': 9.92425338, 'other': 96.40633851196141}"
2017-01-25,"{'Bixin': 31.880012004725, 'F2Pool': 77.68260831, 'SlushPool': 13.51643584, 'ViaBTC': 11.58939828, 'other': 51.9024763224737}"
2017-01-26,"{'F2Pool': 79.51886312, 'SlushPool': 10.8781207, 'ViaBTC': 11.91105625, 'other': 88.76598087976309}"
2017-01-27,"{'F2Pool': 95.63432205, 'SlushPool': 9.02965341, 'ViaBTC': 11.67927968, 'other': 105.556930599501}"
2017-01-28,"{'F2Pool': 77.94002456, 'SlushPool': 6.38550446, 'ViaBTC': 12.14039736, 'other': 31.5412539568155}"
2017-01-29,"{'F2Pool': 76.94952305, 'SlushPool': 16.04262659, 'ViaBTC': 11.93803107, 'other': 19.022372077230003}"
2017-01-30,"{'BitMinter': 0.09113363, 'F2Pool': 76.50144585, 'SlushPool': 8.1944356, 'ViaBTC': 11.65013835, 'other': 28.308807422473098}"
2017-01-31,"{'F2Pool': 77.74753763, 'SlushPool': 1.19166513, 'ViaBTC': 12.16486075, 'other': 88.90431012020329}"
2017-02-01,"{'F2Pool': 77.10264397, 'SlushPool': 8.55159237, 'ViaBTC': 12.47831764, 'other': 80.9350997034762}"
2017-02-02,"{'F2Pool': 77.42735547, 'SlushPool': 14.86021752, 'ViaBTC': 12.17028369, 'other': 83.06773965827769}"
2017-02-03,"{'Bixin': 39.8104692927058, 'F2Pool': 77.39936591, 'SlushPool': 6.71945244, 'ViaBTC': 12.01960564, 'other': 55.5964022183711}"
2017-02-04,"{'F2Pool': 81.36115743, 'SlushPool': 16.95948299, 'ViaBTC': 12.54277811, 'other': 125.63525498732301}"
2017-02-05,"{'AntPool': 23.19412298, 'Bixin': 26.197866479393, 'F2Pool': 76.28133416, 'SlushPool': 15.34427055, 'ViaBTC': 11.90377268, 'other': 26.867479596301}"
2017-02-06,"{'F2Pool': 79.32865119, 'SlushPool': 8.86906331, 'ViaBTC': 11.16019587, 'other': 84.0185857064166}"
2017-02-07,"{'BitFury': 188.84880786, 'F2Pool': 70.67102945, 'SlushPool': 11.67464985, 'ViaBTC': 11.53621304, 'other': 44.8886693048448}"
2017-02-08,"{'F2Pool': 70.28805455, 'SlushPool': 2.78102716, 'ViaBTC': 12.17374048, 'other': 61.6646820284822}"
2017-02-09,"{'Bixin': 263.837802228336, 'F2Pool': 82.89784172, 'SlushPool': 23.41026173, 'ViaBTC': 10.90667492, 'other': 55.0662605493814}"
2017-02-10,"{'F2Pool': 70.26863934, 'SlushPool': 13.53080707, 'ViaBTC': 3.84346713, 'other': 32.0847301135756}"
2017-02-11,"{'F2Pool': 70.7029515, 'SlushPool': 14.12643777, 'ViaBTC': 3.49747334, 'other': 42.2174459923856}"
2017-02-12,"{'F2Pool': 70.56244491, 'SlushPool': 11.27059015, 'ViaBTC': 3.48584023, 'other': 53.3428702307462}"
2017-02-13,"{'Bixin': 2.2, 'F2Pool': 68.3529818, 'SlushPool': 11.49712409, 'ViaBTC': 3.41549092, 'other': 152.511427958895}"
2017-02-14,"{'F2Pool': 71.63457144, 'SlushPool': 6.73043803, 'ViaBTC': 3.24151651, 'other': 26.4680872186422}"
2017-02-15,"{'Bixin': 10.04462102, 'F2Pool': 68.11626082, 'SlushPool': 16.3619644, 'ViaBTC': 3.21407655, 'other': 36.9053679509393}"
2017-02-16,"{'F2Pool': 68.8024539, 'SlushPool': 21.62524796, 'ViaBTC': 3.40689415, 'other': 42.8310711802295}"
2017-02-17,"{'F2Pool': 65.89083599, 'SlushPool': 11.43191558, 'ViaBTC': 3.25497283, 'other': 21.210477215278}"
2017-02-18,"{'F2Pool': 70.00974774, 'SlushPool': 18.48270005, 'ViaBTC': 3.61493929, 'other': 51.25372043661851}"
2017-02-19,"{'F2Pool': 66.56646645, 'SlushPool': 6.34867274, 'ViaBTC': 3.22776691, 'other': 36.5035317342325}"
2017-02-20,"{'BitFury': 42.27845278, 'F2Pool': 81.33157466, 'SlushPool': 29.01410867, 'ViaBTC': 3.18490946, 'other': 26.747081463491998}"
2017-02-21,"{'Bixin': 27.7619322632383, 'F2Pool': 65.61932028, 'SlushPool': 10.57109045, 'ViaBTC': 3.59767928, 'other': 85.4690268246334}"
2017-02-22,"{'F2Pool': 65.25930986, 'SlushPool': 8.35626851, 'ViaBTC': 3.78736085, 'other': 40.2953119628393}"
2017-02-23,"{'F2Pool': 64.59976627, 'SlushPool': 7.19610393, 'ViaBTC': 3.73777738, 'other': 138.038820884226}"
2017-02-24,"{'BitFury': 35.88612964, 'Bixin': 65.9119492969472, 'F2Pool': 66.33317079, 'SlushPool': 20.18663953, 'ViaBTC': 3.07750366, 'other': 139.15998445525298}"
2017-02-25,"{'BitFury': 18.45066031, 'F2Pool': 65.68920282, 'SlushPool': 17.32911124, 'ViaBTC': 1.95821968, 'other': 44.190513955044004}"
2017-02-26,"{'F2Pool': 65.28537724, 'SlushPool': 14.610927, 'ViaBTC': 2.00773321, 'other': 38.030589263478895}"
2017-02-27,"{'F2Pool': 64.64149059, 'SlushPool': 12.11970093, 'ViaBTC': 1.87551354, 'other': 350.035115284384}"
2017-02-28,"{'F2Pool': 62.93724357, 'SlushPool': 10.37824286, 'ViaBTC': 3.18307195, 'other': 93.9110818056855}"
2017-03-01,"{'BitFury': 44.3490189, 'F2Pool': 62.58994042, 'SlushPool': 21.71442861, 'ViaBTC': 3.32547024, 'other': 60.5956361623711}"
2017-03-02,"{'F2Pool': 62.25022033, 'SlushPool': 18.7684427, 'ViaBTC': 3.3996633, 'other': 229.5291938703668}"
2017-03-03,"{'F2Pool': 61.59198123, 'SlushPool': 12.95161248, 'ViaBTC': 3.08629839, 'other': 899.43054039531}"
2017-03-04,"{'F2Pool': 61.18332305, 'SlushPool': 11.75526765, 'ViaBTC': 3.21741727, 'other': 20.693036231129398}"
2017-03-05,"{'F2Pool': 59.56182729, 'SlushPool': 6.05608827, 'ViaBTC': 3.1485498, 'other': 40.5048755484349}"
2017-03-06,"{'F2Pool': 60.11928347, 'SlushPool': 19.54001222, 'ViaBTC': 3.20686253, 'other': 23.4432460864972}"
2017-03-07,"{'Bixin': 10.63269886, 'F2Pool': 61.27353138, 'SlushPool': 17.29224341, 'ViaBTC': 3.42369956, 'other': 57.186661266776}"
2017-03-08,"{'BitFury': 37.01140917, 'F2Pool': 59.4024009, 'SlushPool': 14.19395381, 'ViaBTC': 2.60528801, 'other': 48.813357719775304}"
2017-03-09,"{'F2Pool': 57.66522708, 'SlushPool': 4.26680176, 'ViaBTC': 2.98883141, 'other': 58.470584134237406}"
2017-03-10,"{'F2Pool': 59.7247845, 'SlushPool': 15.6087215, 'ViaBTC': 2.7805258, 'other': 27.192177807588802}"
2017-03-11,"{'Bixin': 5.71938482808468, 'F2Pool': 61.43436749, 'SlushPool': 8.29854084, 'ViaBTC': 3.15099617, 'other': 47.1956680677856}"
2017-03-12,"{'F2Pool': 61.85463344, 'SlushPool': 21.70217715, 'ViaBTC': 3.03504985, 'other': 15.800109336899299}"
2017-03-13,"{'F2Pool': 61.26155219, 'SlushPool': 9.92942161, 'ViaBTC': 2.95810717, 'other': 52.9574935538052}"
2017-03-14,"{'BitFury': 37.77741668, 'F2Pool': 62.83588224, 'SlushPool': 10.227812, 'ViaBTC': 1.82399299, 'other': 70.9623346573148}"
2017-03-15,"{'Bixin': 20, 'F2Pool': 69.75668513, 'SlushPool': 8.93128952, 'ViaBTC': 1.92053559, 'other': 52.233794378472204}"
2017-03-16,"{'F2Pool': 60.59024594, 'SlushPool': 11.79411543, 'ViaBTC': 2.31295452, 'other': 108.856219106697}"
2017-03-17,"{'BitFury': 17.66838529, 'F2Pool': 61.78082628, 'SlushPool': 15.93443092, 'ViaBTC': 3.02099562, 'other': 105.912002994594}"
2017-03-18,"{'F2Pool': 59.30318213, 'SlushPool': 18.0644762, 'ViaBTC': 1.68178527, 'other': 22.4137618133402}"
2017-03-19,"{'F2Pool': 85.27403556, 'SlushPool': 19.84680824, 'ViaBTC': 1.60025528, 'other': 25.4420499567775}"
2017-03-20,"{'F2Pool': 58.42094582, 'SlushPool': 13.77108096, 'ViaBTC': 1.76454473, 'other': 81.5124232209521}"
2017-03-21,"{'F2Pool': 56.98180581, 'SlushPool': 13.25472709, 'ViaBTC': 1.32796406, 'other': 12.812353298879}"
2017-03-22,"{'F2Pool': 61.81504285, 'SlushPool': 25.02966192, 'ViaBTC': 1.6709022, 'other': 98.54483831718511}"
2017-03-23,"{'F2Pool': 59.862447, 'SlushPool': 16.28837989, 'ViaBTC': 1.27486551, 'other': 55.6832127097475}"
2017-03-24,"{'BitFury': 49.48645798, 'F2Pool': 56.13094193, 'SlushPool': 16.83060239, 'ViaBTC': 1.29293688, 'other': 65.68982054701789}"
2017-03-25,"{'F2Pool': 56.23120561, 'SlushPool': 10.26333467, 'ViaBTC': 1.25360684, 'other': 57.0665196603371}"
2017-03-26,"{'F2Pool': 57.22465825, 'SlushPool': 17.85767386, 'ViaBTC': 1.14593805, 'other': 33.8211323657722}"
2017-03-27,"{'F2Pool': 74.74836705, 'SlushPool': 6.15622351, 'ViaBTC': 1.34198348, 'other': 21.3178106857633}"
2017-03-28,"{'F2Pool': 56.0356652, 'SlushPool': 22.10883259, 'ViaBTC': 1.22177356, 'other': 17.598302362327}"
2017-03-29,"{'BitFury': 22.91619174, 'Bixin': 11.0736244435002, 'F2Pool': 55.44068875, 'SlushPool': 14.57325477, 'ViaBTC': 0.93339406, 'other': 27.299508504277203}"
2017-03-30,"{'F2Pool': 55.04032416, 'SlushPool': 26.56814217, 'other': 26.7544800895215}"
2017-03-31,"{'F2Pool': 52.36518328, 'SlushPool': 14.94565165, 'other': 13.1063354208424}"
2017-04-01,"{'BitFury': 15.65448412, 'F2Pool': 50.75571102, 'SlushPool': 20.43789084, 'other': 15.5786669789542}"
2017-04-02,"{'F2Pool': 51.66965374, 'SlushPool': 16.14656193, 'other': 34.0493715421995}"
2017-04-03,"{'F2Pool': 48.59084357, 'SlushPool': 5.73486916, 'other': 19.0703807988231}"
2017-04-04,"{'BitMinter': 0.9, 'Bixin': 31.2062685400436, 'F2Pool': 50.19115763, 'SlushPool': 3.85973627, 'other': 99.6192608667862}"
2017-04-05,"{'F2Pool': 49.0692702, 'SlushPool': 3.79111237, 'other': 20.736878329798298}"
2017-04-06,"{'F2Pool': 49.03638951, 'SlushPool': 11.04060323, 'other': 57.2462991091201}"
2017-04-07,"{'Bixin': 53.9075814162573, 'F2Pool': 49.77893542, 'SlushPool': 11.2141563, 'other': 621.73432558011}"
2017-04-08,"{'F2Pool': 48.90050984, 'SlushPool': 18.2693312, 'other': 14.312852335747401}"
2017-04-09,"{'F2Pool': 62.61072118, 'SlushPool': 9.13844632, 'other': 26.1641342164931}"
2017-04-10,"{'F2Pool': 50.39182091, 'SlushPool': 12.47103335, 'other': 14.358508086586399}"
2017-04-11,"{'F2Pool': 50.70359352, 'SlushPool': 18.98179134, 'other': 21.689952151595097}"
2017-04-12,"{'BitFury': 59.27601868, 'Bixin': 11.4522115099715, 'F2Pool': 46.6187033, 'SlushPool': 18.62420681, 'other': 18.520751232328603}"
2017-04-13,"{'F2Pool': 44.59245761, 'SlushPool': 15.67041937, 'other': 7.49061731840164}"
2017-04-14,"{'F2Pool': 93.64044127, 'SlushPool': 10.49157831, 'other': 1473.7804720578401}"
2017-04-15,"{'F2Pool': 42.82654309, 'SlushPool': 15.54077013, 'other': 11.9261356570517}"
2017-04-16,"{'F2Pool': 42.77368034, 'SlushPool': 18.92091735, 'other': 35.1131114142585}"
2017-04-17,"{'F2Pool': 43.36752741, 'SlushPool': 11.79321808, 'other': 14.1593542881679}"
2017-04-18,"{'BitFury': 95.08004231, 'F2Pool': 42.07150251, 'SlushPool': 9.03841873, 'other': 6.01543359976704}"
2017-04-19,"{'F2Pool': 41.8795821, 'SlushPool': 20.49581014, 'other': 15.4930392981588}"
2017-04-20,"{'F2Pool': 39.46688481, 'SlushPool': 8.74686711, 'other': 14.4061461424503}"
2017-04-21,"{'F2Pool': 45.64719382, 'SlushPool': 12.6458305, 'other': 16.9613512336369}"
2017-04-22,"{'F2Pool': 37.69705161, 'SlushPool': 23.30328164, 'other': 16.250838660165}"
2017-04-23,"{'F2Pool': 38.63358795, 'SlushPool': 18.1863982, 'other': 31.8530677461129}"
2017-04-24,"{'F2Pool': 39.34454287, 'SlushPool': 15.28800068, 'other': 17.8708079687307}"
2017-04-25,"{'F2Pool': 37.46685114, 'SlushPool': 11.58214156, 'other': 109.71958290475699}"
2017-04-26,"{'F2Pool': 37.66297721, 'SlushPool': 9.68623288, 'other': 63.5679789083661}"
2017-04-27,"{'Bixin': 37.0281018238176, 'F2Pool': 38.84781913, 'SlushPool': 9.63349942, 'other': 34.7431270616393}"
2017-04-28,"{'BitFury': 23.42041221, 'F2Pool': 37.71941516, 'SlushPool': 15.94677718, 'other': 173.62080614424198}"
2017-04-29,"{'Bixin': 12.1033569379645, 'F2Pool': 37.52608215, 'SlushPool': 12.68702145, 'other': 41.7835023184597}"
2017-04-30,"{'F2Pool': 36.24792339, 'SlushPool': 21.43498395, 'other': 11.7657433728054}"
2017-05-01,"{'BTC.TOP': 0.160124663558019, 'F2Pool': 36.21755946, 'SlushPool': 14.59374528, 'other': 44.5774440660635}"
2017-05-02,"{'BTC.TOP': 0.0942587034145966, 'F2Pool': 35.01303153, 'SlushPool': 17.02405693, 'other': 568.963974183117}"
2017-05-03,"{'F2Pool': 32.96749219, 'SlushPool': 4.87939503, 'other': 33.4775378693607}"
2017-05-04,"{'BTC.TOP': 0.127754941114604, 'F2Pool': 33.10784085, 'SlushPool': 21.1763634, 'other': 53.425182654534595}"
2017-05-05,"{'BTC.TOP': 0.0221579536952107, 'BitFury': 35.32206351, 'F2Pool': 33.42955316, 'other': 38.7112185136765}"
2017-05-06,"{'F2Pool': 33.12754841, 'SlushPool': 8.66195593, 'other': 26.2288622825848}"
2017-05-07,"{'BTC.TOP': 0.00741197867643337, 'F2Pool': 33.3237453, 'SlushPool': 17.23939115, 'other': 10.2663615264058}"
2017-05-08,"{'BitMinter': 0.04559632, 'F2Pool': 33.37273618, 'SlushPool': 11.73750849, 'other': 55.1112116240466}"
2017-05-09,"{'Bixin': 10, 'F2Pool': 33.4600188, 'SlushPool': 11.72879225, 'other': 580.5887801453549}"
2017-05-10,"{'Bixin': 13.967904327062, 'F2Pool': 31.87101881, 'SlushPool': 17.50346601, 'other': 44.658530171035196}"
2017-05-11,"{'F2Pool': 29.00871012, 'other': 56.0692502948044}"
2017-05-12,"{'Bixin': 5.76714155428108, 'F2Pool': 27.82550274, 'SlushPool': 12.56536973, 'other': 100.894238056221}"
2017-05-13,"{'F2Pool': 27.70102676, 'SlushPool': 18.14147718, 'other': 25.8227092251281}"
2017-05-14,"{'F2Pool': 28.50441165, 'SlushPool': 14.01050153, 'other': 23.3020007918934}"
2017-05-15,"{'F2Pool': 29.05807373, 'SlushPool': 18.50726623, 'other': 38.9407389204694}"
2017-05-16,"{'F2Pool': 28.98525037, 'SlushPool': 4.08568717, 'other': 23.5642655498886}"
2017-05-17,"{'BitFury': 50.49163756, 'Bixin': 66.443935598328, 'F2Pool': 28.07072674, 'SlushPool': 23.80858974, 'other': 37.8495486351231}"
2017-05-18,"{'F2Pool': 27.18987416, 'SlushPool': 4.43419647, 'other': 42.6924283258392}"
2017-05-19,"{'Bixin': 33.0013694181992, 'F2Pool': 25.10031795, 'SlushPool': 14.28708632, 'other': 101.954113747319}"
2017-05-20,"{'F2Pool': 25.03580358, 'SlushPool': 16.30334018, 'other': 25.3147424228387}"
2017-05-21,"{'Bixin': 36.0041450997972, 'F2Pool': 24.61887164, 'SlushPool': 13.62513395, 'other': 50.8198844774987}"
2017-05-22,"{'F2Pool': 25.5334662, 'SlushPool': 6.68156555, 'other': 63.5401126199454}"
2017-05-23,"{'BitMinter': 0.00194345, 'F2Pool': 26.03185397, 'SlushPool': 5.98305335, 'other': 1485.79329895369}"
2017-05-24,"{'BTC.TOP': 0.0108529948037625, 'Bixin': 14.8713649041886, 'F2Pool': 25.47253118, 'SlushPool': 6.47181458, 'other': 1754.06638393473}"
2017-05-25,"{'Bixin': 10.40291, 'F2Pool': 24.70925075, 'SlushPool': 5.00894521, 'other': 156.571801656969}"
2017-05-26,"{'F2Pool': 24.17671977, 'SlushPool': 15.66577579, 'other': 174.65890270766798}"
2017-05-27,"{'F2Pool': 23.91305282, 'SlushPool': 11.20597161, 'other': 39.4608950313521}"
2017-05-28,"{'BTC.TOP': 0.0110487769448651, 'F2Pool': 23.55489957, 'SlushPool': 10.35693402, 'other': 145.059519868727}"
2017-05-29,"{'F2Pool': 23.79098993, 'SlushPool': 16.95462518, 'other': 110.577043928788}"
2017-05-30,"{'Bixin': 6.33240363882526, 'F2Pool': 23.16001745, 'SlushPool': 15.00258142, 'other': 221.531816004569}"
2017-05-31,"{'F2Pool': 24.47333529, 'SlushPool': 19.28377062, 'other': 101.913431907902}"
2017-06-01,"{'Bixin': 18.9626575302473, 'F2Pool': 23.47161163, 'SlushPool': 3.71708166, 'other': 103.89547371683301}"
2017-06-02,"{'F2Pool': 23.96020277, 'SlushPool': 11.59892067, 'other': 60.3445591421834}"
2017-06-03,"{'Bixin': 4.12088115718862, 'F2Pool': 24.20725752, 'SlushPool': 17.62632511, 'other': 40.917707947678906}"
2017-06-04,"{'F2Pool': 24.76723395, 'SlushPool': 17.89533198, 'other': 16.20644969311}"
2017-06-05,"{'BitFury': 134.33432016, 'Bixin': 8.06626469977154, 'F2Pool': 24.86065498, 'SlushPool': 14.4139314, 'other': 25.2036882292146}"
2017-06-06,"{'BTC.TOP': 43.0701906, 'Bixin': 46.7195429970004, 'F2Pool': 21.26318023, 'SlushPool': 13.72478597, 'other': 548.365860011021}"
2017-06-07,"{'Bixin': 30, 'F2Pool': 175.32500381, 'SlushPool': 9.07771488, 'other': 60.4550993409018}"
2017-06-08,"{'Bixin': 9.99797552688981, 'F2Pool': 20.87730891, 'SlushPool': 20.73010303, 'other': 62.8144271772811}"
2017-06-09,"{'Bixin': 35.2110896656668, 'F2Pool': 22.88016562, 'SlushPool': 7.3414378, 'other': 33.8145921514005}"
2017-06-10,"{'Bixin': 27.4271176137498, 'F2Pool': 30.0271139, 'SlushPool': 21.71039922, 'other': 72.6831874181622}"
2017-06-11,"{'Bixin': 15.723788054081, 'F2Pool': 25.48299469, 'SlushPool': 20.07519594, 'other': 26.338736950040698}"
2017-06-12,"{'Bixin': 8, 'F2Pool': 25.27272153, 'SlushPool': 10.01368577, 'other': 229.567377387323}"
2017-06-13,"{'F2Pool': 24.56504818, 'SlushPool': 13.21172256, 'other': 126.241871975736}"
2017-06-14,"{'BitFury': 48.40536567, 'Bixin': 10, 'F2Pool': 26.26367432, 'SlushPool': 7.04496246, 'other': 93.9660150537037}"
2017-06-15,"{'Bixin': 1.94872637599037, 'F2Pool': 23.85895093, 'SlushPool': 16.3963972, 'other': 70.192333200349}"
2017-06-16,"{'BTC.TOP': 0.235275047812022, 'Bixin': 24.6496916298602, 'F2Pool': 27.70197937, 'SlushPool': 0.96431973, 'other': 37.503592219485604}"
2017-06-17,"{'Bixin': 5, 'F2Pool': 23.93037501, 'SlushPool': 11.85160553, 'other': 56.4344254387552}"
2017-06-18,"{'BTC.TOP': 0.139177621847385, 'F2Pool': 25.72513288, 'SlushPool': 11.97800212, 'other': 26.8337350311538}"
2017-06-19,"{'BTC.TOP': 1.2739362066439, 'BitFury': 55.04775626, 'Bixin': 9.57244541878493, 'F2Pool': 23.91182081, 'SlushPool': 7.27243488, 'other': 97.8838911188638}"
2017-06-20,"{'BitMinter': 0.0061731, 'Bixin': 5, 'F2Pool': 23.15309637, 'SlushPool': 7.57252931, 'other': 76.1538531903524}"
2017-06-21,"{'BTC.TOP': 13.6607248784517, 'Bixin': 25.7034880372138, 'F2Pool': 23.49920583, 'SlushPool': 4.35310555, 'other': 61.5321475458687}"
2017-06-22,"{'Bixin': 11.3599212852735, 'F2Pool': 176.41540183, 'SlushPool': 5.30023127, 'other': 129.104815451757}"
