t,indicators_nupl_more_155_account_based
2011-01-19,0.835863876450266
2011-01-20,0.868124619225973
2011-01-21,0.877463123928853
2011-01-22,0.884029115775716
2011-01-23,0.883544586129577
2011-01-24,0.877128430930752
2011-01-25,0.874131288692458
2011-01-26,0.875188748447282
2011-01-27,0.877384248160794
2011-01-28,0.881160792699338
2011-01-29,0.882198682625894
2011-01-30,0.892169123539597
2011-01-31,0.905927367997999
2011-02-01,0.9268283345882
2011-02-02,0.927623676363989
2011-02-03,0.925539105349689
2011-02-04,0.935363204437452
2011-02-05,0.942249272080388
2011-02-06,0.941551436435784
2011-02-07,0.940894467527269
2011-02-08,0.942582582411424
2011-02-09,0.95100648834669
2011-02-10,0.94527990501954
2011-02-11,0.950158908125118
2011-02-12,0.95054112362833
2011-02-13,0.949089644335777
2011-02-14,0.95062527692993
