t,transactions_entity_adjusted_count
2011-04-17,2003
2011-04-18,2929
2011-04-19,3188
2011-04-20,2732
2011-04-21,1749
2011-04-22,1861
2011-04-23,2073
2011-04-24,2037
2011-04-25,2352
2011-04-26,3135
2011-04-27,4222
2011-04-28,2668
2011-04-29,3117
2011-04-30,3952
2011-05-01,3532
2011-05-02,2788
2011-05-03,2576
2011-05-04,2402
2011-05-05,3042
2011-05-06,2856
2011-05-07,3520
2011-05-08,2503
2011-05-09,3087
2011-05-10,2863
2011-05-11,2839
2011-05-12,3039
2011-05-13,3487
2011-05-14,3754
2011-05-15,3320
2011-05-16,3885
2011-05-17,3899
2011-05-18,4938
2011-05-19,4254
2011-05-20,4292
2011-05-21,4485
2011-05-22,4632
2011-05-23,5195
2011-05-24,5127
2011-05-25,5581
2011-05-26,6369
2011-05-27,4586
2011-05-28,4798
2011-05-29,4336
2011-05-30,4878
2011-05-31,5643
2011-06-01,5812
2011-06-02,6262
2011-06-03,7356
2011-06-04,7653
2011-06-05,7637
2011-06-06,8779
2011-06-07,7984
2011-06-08,10366
2011-06-09,9932
2011-06-10,9583
2011-06-11,9229
2011-06-12,10583
2011-06-13,9700
2011-06-14,12648
2011-06-15,10518
2011-06-16,11297
2011-06-17,10146
2011-06-18,10207
2011-06-19,10420
2011-06-20,10594
2011-06-21,9019
2011-06-22,10818
2011-06-23,9673
2011-06-24,10139
2011-06-25,8782
2011-06-26,8641
2011-06-27,10455
2011-06-28,9453
2011-06-29,9006
2011-06-30,8594
2011-07-01,9310
2011-07-02,7248
2011-07-03,7327
2011-07-04,8422
2011-07-05,8333
2011-07-06,9863
2011-07-07,8811
2011-07-08,7998
2011-07-09,7414
2011-07-10,7971
2011-07-11,9869
2011-07-12,7815
2011-07-13,8716
2011-07-14,8315
2011-07-15,7688
2011-07-16,8392
2011-07-17,7634
2011-07-18,8253
2011-07-19,8782
2011-07-20,8477
2011-07-21,7673
2011-07-22,7740
2011-07-23,6832
2011-07-24,7620
2011-07-25,9039
2011-07-26,7751
2011-07-27,7381
2011-07-28,7112
2011-07-29,6601
2011-07-30,5828
2011-07-31,7300
2011-08-01,7565
2011-08-02,8062
2011-08-03,7102
2011-08-04,7592
2011-08-05,6725
2011-08-06,6372
2011-08-07,6277
2011-08-08,6725
2011-08-09,8532
2011-08-10,7854
2011-08-11,7241
2011-08-12,6796
2011-08-13,6796
2011-08-14,6952
2011-08-15,7823
2011-08-16,8542
2011-08-17,7266
2011-08-18,6826
2011-08-19,6945
2011-08-20,6843
2011-08-21,7220
2011-08-22,7369
2011-08-23,6939
2011-08-24,6971
2011-08-25,6878
2011-08-26,7009
2011-08-27,5975
2011-08-28,5216
2011-08-29,7045
2011-08-30,7060
2011-08-31,6722
2011-09-01,6287
2011-09-02,6414
2011-09-03,5434
2011-09-04,6720
2011-09-05,6321
2011-09-06,6718
2011-09-07,6437
2011-09-08,5772
2011-09-09,6744
2011-09-10,5501
2011-09-11,5961
2011-09-12,6134
2011-09-13,5959
2011-09-14,5687
2011-09-15,5913
2011-09-16,5654
2011-09-17,4972
2011-09-18,5428
2011-09-19,6066
2011-09-20,7502
2011-09-21,7304
2011-09-22,5759
2011-09-23,5917
2011-09-24,5262
2011-09-25,5262
2011-09-26,5267
2011-09-27,5664
2011-09-28,5495
2011-09-29,5201
2011-09-30,5516
2011-10-01,5013
2011-10-02,4774
2011-10-03,6063
2011-10-04,5549
2011-10-05,5310
2011-10-06,5450
2011-10-07,5246
2011-10-08,5015
2011-10-09,4923
2011-10-10,5391
2011-10-11,5425
2011-10-12,5566
2011-10-13,4675
2011-10-14,5676
2011-10-15,5174
2011-10-16,4697
2011-10-17,5575
2011-10-18,4668
2011-10-19,4928
2011-10-20,4464
2011-10-21,5052
2011-10-22,4941
2011-10-23,5410
2011-10-24,5649
2011-10-25,5000
2011-10-26,5023
2011-10-27,4454
2011-10-28,4857
2011-10-29,5323
2011-10-30,4796
2011-10-31,4958
2011-11-01,5508
2011-11-02,5675
2011-11-03,5979
2011-11-04,6221
2011-11-05,5675
2011-11-06,4821
2011-11-07,5279
2011-11-08,5619
2011-11-09,6075
2011-11-10,6155
2011-11-11,4876
2011-11-12,4889
2011-11-13,5156
2011-11-14,5631
2011-11-15,5818
2011-11-16,5790
2011-11-17,4686
2011-11-18,4919
2011-11-19,4512
2011-11-20,4901
2011-11-21,4564
2011-11-22,5172
2011-11-23,5383
2011-11-24,4801
2011-11-25,5262
2011-11-26,4569
2011-11-27,4929
2011-11-28,5627
2011-11-29,6090
2011-11-30,6533
2011-12-01,5934
2011-12-02,5975
2011-12-03,5371
2011-12-04,5116
2011-12-05,5911
2011-12-06,7171
2011-12-07,5886
2011-12-08,5526
2011-12-09,5285
2011-12-10,5135
2011-12-11,4986
2011-12-12,4616
2011-12-13,5104
2011-12-14,5400
2011-12-15,4635
2011-12-16,4871
2011-12-17,4721
2011-12-18,4353
2011-12-19,5505
2011-12-20,5896
2011-12-21,5245
2011-12-22,5485
2011-12-23,5393
2011-12-24,4460
2011-12-25,4984
2011-12-26,5400
2011-12-27,5003
2011-12-28,4703
2011-12-29,4940
2011-12-30,4799
2011-12-31,4883
2012-01-01,4759
2012-01-02,5129
2012-01-03,5489
2012-01-04,5444
2012-01-05,6591
2012-01-06,6196
2012-01-07,5586
2012-01-08,5991
2012-01-09,5784
2012-01-10,6316
2012-01-11,6660
2012-01-12,6310
2012-01-13,6517
2012-01-14,6347
2012-01-15,5853
2012-01-16,6560
2012-01-17,6369
2012-01-18,6398
2012-01-19,6534
2012-01-20,6395
2012-01-21,6038
2012-01-22,5056
2012-01-23,5767
2012-01-24,6757
2012-01-25,7486
2012-01-26,6216
2012-01-27,6039
2012-01-28,5578
2012-01-29,6004
2012-01-30,5773
2012-01-31,6610
