t,o
2010-03-23,"{'crossed': 0, 'ma30': 32968903.44949067, 'ma60': 25225410.667377703}"
2010-03-24,"{'crossed': 0, 'ma30': 33168463.486604158, 'ma60': 25698820.853229877}"
2010-03-25,"{'crossed': 0, 'ma30': 33540175.456559118, 'ma60': 26236871.384891327}"
2010-03-26,"{'crossed': 0, 'ma30': 34119558.61044115, 'ma60': 26751148.42248816}"
2010-03-27,"{'crossed': 0, 'ma30': 34510929.08164315, 'ma60': 27211946.85348593}"
2010-03-28,"{'crossed': 0, 'ma30': 34827114.21714174, 'ma60': 27729174.46334533}"
2010-03-29,"{'crossed': 0, 'ma30': 35122009.26261408, 'ma60': 28223626.61605421}"
2010-03-30,"{'crossed': 0, 'ma30': 35605662.60839958, 'ma60': 28734563.78306416}"
2010-03-31,"{'crossed': 0, 'ma30': 35866808.219257474, 'ma60': 29234191.13793503}"
2010-04-01,"{'crossed': 0, 'ma30': 36153426.93629821, 'ma60': 29782629.335598905}"
2010-04-02,"{'crossed': 0, 'ma30': 36774356.91267454, 'ma60': 30362902.201157857}"
2010-04-03,"{'crossed': 0, 'ma30': 37231767.65340369, 'ma60': 31012004.4469721}"
2010-04-04,"{'crossed': 0, 'ma30': 37867621.27369796, 'ma60': 31577786.70375177}"
2010-04-05,"{'crossed': 0, 'ma30': 38337264.44466807, 'ma60': 32097642.965814874}"
2010-04-06,"{'crossed': 0, 'ma30': 38810675.830445625, 'ma60': 32558463.60036588}"
2010-04-07,"{'crossed': 0, 'ma30': 39839521.835628174, 'ma60': 33248938.183556404}"
2010-04-08,"{'crossed': 0, 'ma30': 40584354.1583553, 'ma60': 33837729.525946334}"
2010-04-09,"{'crossed': 0, 'ma30': 41262916.26317743, 'ma60': 34490483.380805835}"
2010-04-10,"{'crossed': 0, 'ma30': 42916946.62913338, 'ma60': 35505083.506825276}"
2010-04-11,"{'crossed': 0, 'ma30': 44232328.986768045, 'ma60': 36364392.42053917}"
2010-04-12,"{'crossed': 0, 'ma30': 45367794.82905284, 'ma60': 37253493.39374571}"
2010-04-13,"{'crossed': 0, 'ma30': 46892962.770413294, 'ma60': 38207669.983804494}"
2010-04-14,"{'crossed': 0, 'ma30': 48205334.637379445, 'ma60': 39023908.64976274}"
